condition,genes,log2fold_change,padj,pvalue,direction
7d,IL1RN,-0.09165,0.01,0.01,down
7d,IL2,-0.02447,0.01,0.01,down
7d,IL27,-0.54924,0.01,0.01,down
7d,IL6,-0.03938,0.01,0.01,down
7d,LIF,-0.10122,0.01,0.01,down
7d,LTA,0.024488,0.01,0.01,up
7d,TGFB3,0.210653,0.01,0.01,up
7d,TNF,0.175829,0.01,0.01,up
7d,TNFRSF1B,0.305499,0.01,0.01,up
7d,TNFSF10,0.028546,0.01,0.01,up
7d,TNFSF11,-0.34832,0.01,0.01,down
7d,TNFSF14,-0.02183,0.01,0.01,down
7d,TSLP,0.201419,0.01,0.01,up
14d,C1QA,0.291149,0.01,0.01,up
14d,CCL19,0.045449,0.01,0.01,up
14d,CCL2,0.12294,0.01,0.01,up
14d,CCL3,-0.07489,0.01,0.01,down
14d,CCL4,-4.2e-4,0.01,0.01,down
14d,CCL7,0.701018,0.01,0.01,up
14d,CCL8,0.180739,0.01,0.01,up
14d,CD274,-0.05716,0.01,0.01,down
14d,CHI3L1,0.080007,0.01,0.01,up
14d,CRP,0.08063,0.01,0.01,up
14d,CSF1,-0.05464,0.01,0.01,down
14d,CSF2,0.081173,0.01,0.01,up
14d,CSF3,0.234742,0.01,0.01,up
14d,CX3CL1,0.091989,0.01,0.01,up
14d,CXCL10,0.213635,0.01,0.01,up
14d,CXCL11,0.046465,0.01,0.01,up
14d,CXCL9,-0.46124,0.01,0.01,down
14d,FGF19,0.646357,0.01,0.01,up
14d,FURIN,0.183736,0.01,0.01,up
14d,IFNA1; IFNA13,0.247133,0.01,0.01,up
14d,IFNA2,-0.13747,0.01,0.01,down
14d,IFNG,0.040476,0.01,0.01,up
14d,IFNL1,-0.06244,0.01,0.01,down
14d,IFNW1,-0.22645,0.01,0.01,down
14d,IL10,0.165106,0.01,0.01,up
14d,IL13,0.155232,0.01,0.01,up
14d,IL15,-4.2e-4,0.01,0.01,down
14d,IL18BP,0.043158,0.01,0.01,up
14d,IL1RN,0.194168,0.01,0.01,up
14d,IL2,-0.46436,0.01,0.01,down
14d,IL27,-0.27501,0.01,0.01,down
14d,IL6,0.118164,0.01,0.01,up
14d,LIF,0.085782,0.01,0.01,up
14d,LTA,-9.5e-4,0.01,0.01,down
14d,TGFB3,0.036121,0.01,0.01,up
14d,TNF,0.151858,0.01,0.01,up
14d,TNFRSF1B,0.099235,0.01,0.01,up
14d,TNFSF10,-0.019,0.01,0.01,down
14d,TNFSF11,-0.48507,0.01,0.01,down
14d,TNFSF14,0.226766,0.01,0.01,up
14d,TSLP,0.008114,0.01,0.01,up
