EffectSize,MM.Entrez
0.26670080212496616,69742
0.6903445930085153,545902
0.542919085908721,109660
0.44283587015964354,21676
0.5522883593390615,67331
0.5236415458102113,226359
0.2335830407447399,12402
0.39451625858630246,17537
0.40739934886823725,98314
0.49287993860737833,233875
0.5438751440036746,11470
0.35314366535175346,628324
0.4457571149302928,213435
0.43747562094978454,320202
0.5247895972794092,56184
0.476962716261236,18796
0.7103292125205352,14068
0.4293070130040908,15227
0.46679048130922096,76267
0.7137983753782358,14807
0.5522763983770616,74915
0.36929300862306125,54199
0.23821205917216748,140500
0.38902349910302503,13106
0.22560381747705005,76073
0.4176664490392814,21645
0.4723982949750698,77462
0.6445666237538026,319581
0.37487100121223094,332221
0.41660471857457226,77976
0.6093749142191869,16688
0.39101760634312965,73192
0.4172745700159508,12587
0.24446707442973814,18029
0.5296917077953069,243510
0.5482632108446608,54357
0.3339092861481996,225631
0.3379592937362941,24100
0.3247712743047644,53870
0.3105949943142732,26757
0.24422392736755016,14168
0.32156036366453167,13714
0.47808322725691754,110135
0.6240681415787543,668303
0.3938867642281809,22066
0.4357565380068964,13446
0.33857583263750257,13370
0.35480329769726815,237943
0.6654840226192213,52892
0.1806713827294706,106565
0.23754744714180287,76645
0.4938236148375421,384185
0.21165535356349885,244550
0.3243280449091559,11979
0.25270956631583585,18991
0.3332634050577332,69398
0.3205362362197688,224023
0.13336999408120231,22163
0.34891465425978474,14915
0.32438408833029797,21968
0.21011462099991673,69318
0.7064111227662786,69836
0.1730714558619546,80886
0.3733286850945934,640524
0.77661348773524,17202
0.15391576413616148,19336
0.39015294562688796,226896
0.3297121693792415,17260
0.32367964262039584,237397
0.1743124206164639,68423
0.31134392735792726,11853
0.32221295191560806,75788
0.31896013497397346,12180
0.3047367809920507,258961
0.161316657326239,14884
0.24518775277160643,18121
0.22537960327339235,14270
0.37772248527415764,66712
0.2138976303191673,241128
0.5121837391139019,75723
0.23543088055572126,19079
0.6257959477927111,270150
0.6961911672775729,66333
0.39618904712544456,332578
0.319585310766493,260301
0.401534260552018,11625
0.30394892814364693,170472
0.33858860172157,71728
0.1250669821672017,75751
0.29849751565289884,83492
0.5363538519576001,241201
0.08036847745059106,22260
0.40319549128288035,12834
0.4284995021610909,12075
0.37252866968888343,382639
0.24497235996352096,244199
0.24648607856517746,102580
0.3427591077275607,66042
0.35029990982051995,13639
0.3051152469411069,21422
0.5305038662935413,72383
0.2595211767964951,235086
0.5766728585447862,69826
0.47004242471053104,328778
0.21170580267837735,16973
0.48571706908868606,14756
0.2669145680246148,14430
0.3927023575513151,13199
0.19162201633401965,76539
0.15419795321380692,11492
0.3004174237602917,13483
0.18916499622698124,109676
0.3816658473395518,102502
0.27592520583560276,12912
0.27295826049097016,57756
0.17753412289785864,73166
0.413932558003252,239827
0.49631861230966967,13649
0.37759396327108874,13116
0.26892091374353777,71986
0.326957695088105,269198
0.09738619723990238,19334
0.17386449293647566,12518
0.3934520122469456,329942
0.2171859430481713,245468
0.2171859430481713,385377
0.25853952681069137,68316
0.3378400021363621,226861
0.5514687850740358,56501
0.19955721353904154,224116
0.24043496842278467,320916
0.29741947733012397,68453
0.2946028996971295,19276
0.4676646730099452,26559
0.08427050729846375,17192
0.3021561656715801,381199
0.2940062040651581,78929
0.1724614591607807,14784
0.22148023990581045,66220
0.3178683210789113,20913
0.5741066746522776,20379
0.2400344387606439,26434
0.36785071454259155,231633
0.18580233451974637,21961
0.12546438855796582,30806
0.3154924963434178,268970
0.16959347782149425,21940
0.3140765631890954,17123
0.16039933198072465,20867
0.1333731209555742,58804
0.2219197691504058,223970
0.2614991860046967,74383
0.222466815300566,52855
0.16696575710050388,107477
0.3163247740018207,66435
0.2812473135516047,76257
0.26898957805509127,217708
0.42941989102246003,73368
0.6547478899281356,243083
0.6616489397781353,242603
-0.12616447127474562,415115
-0.10543678545150215,67881
0.3330604747462793,74675
0.31207988256185626,74463
0.2462653483177233,11438
0.3669397963011325,12260
0.3947357646042904,246293
0.4110742244205121,12643
0.2004556974496059,103768
0.3042523486303015,259122
0.24055530178500595,69332
0.5732896689862952,67198
0.16854546735662002,68632
0.38430382697661036,624910
0.4548656840795062,170735
0.6183554111890435,332110
0.13510840511547428,67181
0.2610746853623902,207920
0.28929735198136797,16660
0.6915838744347922,245446
0.5655755179378739,53791
0.4701485211365304,671564
0.3013489586030116,320429
0.36479278520279035,231148
0.22809860253417735,101612
0.785591171751489,15565
0.2992796062103009,14201
0.42064713819279964,74286
0.21809357555245512,14562
0.29030064353497176,13844
0.13114954698290182,67903
0.24418303675484676,63873
0.523003656953624,170744
0.22381271514681256,13804
0.260407170055867,24047
0.1930202929922724,12977
0.1774439700363173,226122
-0.10313312227588023,106344
0.3777270537478574,69533
-0.12982786794851675,17083
0.22946855503946662,268564
0.33903971589653636,14071
0.2659876218222146,217893
0.23983678984854295,233020
0.3210414286421006,18190
0.21193699775484687,72133
0.29209110912381275,20530
0.37993900973195194,19418
0.46181253751522755,228785
0.09840431926874338,22029
0.24003341982180038,100039795
0.3711454584365006,226438
0.23314386746505766,22771
0.17960770916374935,21934
0.27698317009723405,170947
0.5830177421761047,66733
0.2727492124388249,230398
0.29437364227140783,114304
0.32181119249536927,17763
0.3141126577726485,20290
-0.10110796865839644,56488
0.33173491259224797,212518
0.5396015871601707,14239
0.38009182518453377,12865
-0.09229192076254433,216767
0.2661975712748732,69274
0.5905776288280551,258025
0.29025059504737083,232533
0.2561389726803993,387565
0.5285505595628144,56795
0.6176106128821712,18208
0.240729832589901,67272
0.3957595213334799,18747
-0.12617505220504865,67201
0.5523218989423992,14073
0.17489838722117446,66075
0.480832623833809,329581
0.46613287226751776,20287
0.35587882649603175,223604
0.15140543892698144,70604
-0.0871426212430797,28169
0.09200110098412884,77701
0.22621850962846546,140493
0.25135096272202695,100504491
0.31171279947316854,117148
0.07623308182177935,65099
0.6115832731873287,170834
0.28679394029544847,67703
0.5071940609975236,239591
0.46655485724316126,11643
0.0639864262357479,11984
0.42587761288547155,106369
0.31304875019587586,67533
0.31304875019587586,66532
0.22779332445393363,77733
-0.07971043183835036,19181
-0.08160705978503158,56369
0.2607838162404632,22287
0.3209119085765182,229841
0.08250039232596107,213956
-0.07919154835912323,66537
0.1568632771447458,76332
0.6354659165489678,93889
0.12928620983909767,51792
0.1986875391063605,16528
0.6062418783328178,214523
0.3044044177986369,77296
0.10699850217852935,109674
-0.08601428092179564,78394
-0.14781570963146384,55992
0.13989341845077474,13528
0.6957759372308094,12061
0.26430379755003575,237823
-0.5562767932062969,74002
0.36294401382758945,225895
0.36294401382758945,100039957
0.14719867120992003,17293
0.4192715587162672,13644
0.14516024190640353,66980
0.37660496196370685,93746
0.17922822645621928,18612
0.6116018840317183,14262
0.25686406911853954,12580
0.19580101346586298,16819
0.31706903395203767,100534287
0.0847208441091909,74026
0.3437705782836904,14404
0.21641616257239882,17760
0.23604194545283264,67119
0.17356005590095114,269473
0.13063756732894305,13857
-0.17859492975343194,56434
0.4461351982197903,232934
0.24757233953405322,15531
0.35837139824789244,18587
0.25639997126278136,218030
0.23125646951744772,71840
0.48533926185557186,259119
-0.08123036830027797,66046
0.5301108738726277,56189
-0.11005050196722044,94064
-0.089923546500847,56317
0.23048036837831365,231440
-0.07700176431824701,12464
-0.3841965891017498,435145
0.21303611137662237,71912
-0.1001198916968975,75284
0.11070126405119529,268903
-0.17061138771567563,24012
0.1849933220783746,108068
0.2810065279975298,140741
0.409423058563239,12282
-0.10608924510207851,67877
0.6676131674702603,73884
0.4168650008959398,13400
0.09644803278474079,74754
0.22726120568954977,84682
0.27495228109787107,404549
0.0812329919594359,12752
0.20127462381573302,15258
0.1894191602190367,246779
0.12014305970369188,218756
0.3504506228086668,258248
0.07831309279999799,12567
0.3137870556799225,232333
0.21939747226887052,56640
0.14346033721194829,26569
-0.11933866569465312,21858
-0.10337135542478926,104721
0.4363797085267258,320051
0.505373960763126,105734
-0.07919165907059611,53612
-0.10175976085742722,110695
0.265209602226697,269629
0.17957602077641344,70231
0.31502686162176063,18822
-0.12043579498823709,20498
0.5125206992607905,78933
0.3426783968019991,71856
0.2896005668070427,233080
0.2896005668070427,233081
0.3840276530978466,74127
0.23199124099361246,72514
0.42087692987573044,230779
-0.5517078312641417,72469
0.28389352689106273,14179
0.5424075886524129,239611
-0.09444559678856645,353258
0.5359361131383855,11556
0.13405672742697528,76510
0.2955292340216422,223227
-0.13338623493992463,71772
0.5210037382244372,234836
0.22518492822103653,13870
0.2726680340369301,12388
-0.0780778500864594,72775
0.16780038927862817,106877
0.57681657684688,666794
0.44745861324592706,20745
0.32829929408501,18198
-0.08361603945342333,73067
0.24654236236343907,17701
0.2474479807701231,66104
0.21568026234678417,216810
0.219347485770085,20401
-0.1284706794724828,67755
-0.08135425867788681,110446
0.23324490540874887,56324
0.45618351103849086,12064
-0.13868656476724261,226823
0.16317326706046575,13401
0.08103165617539698,64657
0.16384059596058753,83557
0.22162015617324604,70375
0.43927275898434504,15560
0.14017962002760287,241075
0.5338732636670449,76646
0.4908249985535895,12164
-0.08563601330975557,56693
0.5092341534362803,18946
-0.1308686491514317,75736
0.2447705802331912,74276
0.07558976068035683,217124
0.3774911767636513,57435
0.340569104959652,66910
0.44589074525281447,13115
-0.4125046529026397,17287
0.6161731519632434,100048644
0.10843216544816947,230784
-0.3846297965858225,15894
-0.12649340566190492,68240
-0.09067702222409535,57905
0.17679783621486544,14183
-0.09270115172438675,16854
0.25780583436159876,212390
-0.08058708168827833,69161
-0.1945118842431257,96979
0.1084904893138976,19946
0.44116516287503016,13340
0.5078328330864998,18417
-0.06403803831547883,13595
-0.07413724444783165,71890
-0.05668182827828128,76688
-0.15108086928843933,72999
0.19646163285288498,66253
0.34218592717913277,16728
0.13686375513163807,27028
0.0903593444262043,81897
-0.06794982200528743,66126
0.0661357935044764,15108
0.2092656603353089,72055
0.09207848255217232,13803
-0.06984632303744753,71609
-0.36148881074894357,448850
0.28585044327833975,22117
0.14098198192140643,114666
0.17820752442119847,15476
0.2270272903466668,56734
0.5959665711957993,27204
-0.055949030502699504,14768
-0.27390751796953605,63955
-0.07557860520166892,52174
-0.07273030953587023,20014
0.35654271210994093,232400
0.0876898885139652,15567
-0.08916731180423776,68742
0.15428036349734953,268451
0.16266711091192754,276920
-0.765875465575135,20203
-0.2595537616379966,320522
-0.11981201925858898,67440
0.1648433294077143,66849
0.4134797308433078,170484
-0.15719353835507777,217664
0.2526984215154817,15114
0.1387364595235967,72147
0.15792668578244662,14618
-0.08538947100009997,108143
-0.059732302569242,112406
-0.09264733246741974,15452
0.16593563804876732,14858
0.20314487768755596,11890
-0.07150698607628136,269951
-0.06902012128224566,72008
-0.1559210646308702,242785
0.11946378079028852,223918
-0.0942130730256312,17149
0.23644726209160272,546648
-0.08145372655780925,81535
-0.4652444919823482,17475
0.06551200587191142,227753
-0.2302462875439879,17863
0.09429265386248309,29856
-0.1834592491941356,21809
0.14580832514560482,17063
0.15062975943372914,69906
0.4206161803602573,17772
0.4807236557177301,231134
-0.0806040461723252,52840
-0.42830183043087855,16156
-0.0798996652158781,69806
0.1917114379311209,77836
0.08572369516641887,319262
-0.07626304111332738,69713
-0.08074850446971737,16154
0.2619663521947806,382083
-0.0954949781402088,71955
0.22437312817463262,70350
0.31123937248607536,19293
0.1858360569949835,22213
0.07870293946358409,68041
0.40442714553558945,55938
-0.07114224586144591,11739
0.8462665275774643,70503
0.26350100721656355,237107
0.6247908836273548,108897
-0.08501684589758218,108652
0.606135323010633,57754
-0.13551198322891622,69577
-0.12368632934272039,56360
-0.09504085000268425,68917
0.07179678980196513,338348
-0.07415627147261539,66111
0.3228811415253423,19223
0.10661638805957141,19289
-0.06027510806928227,11370
0.13724819618675133,13003
0.14778125008826937,116701
-0.09250279822733187,69747
-0.40114805472980875,13368
0.15607934531752266,68311
-0.0641270767472304,67873
0.09133413079039077,71767
0.44678534611056175,279028
0.5267205530664119,21748
0.39242058297164917,16560
0.09298871515852891,66460
0.12029803175408382,235320
0.12238515450815868,75732
-0.11079860695456967,74600
-0.13677867582109648,68501
0.17478821047228932,319622
0.1897456220459266,64705
-0.07920995778906459,56374
-0.07267400345058439,19035
-0.06914001060889241,72121
0.34250981317600804,544817
0.09213394825967924,18590
-0.41636548475706703,100048658
0.11279691304157957,102103
0.39623635498924203,245827
-0.07994914075375581,66400
0.3643541672817756,17002
0.19145916897910054,241489
0.20750307882697427,69536
0.4008464480659626,78558
0.1101936659144398,57330
0.26007743300068586,20661
0.29104692289986156,29859
0.2009795397086287,622935
0.42953544666182175,16869
0.3861871688847751,259071
-0.14723596544392148,56299
-0.08223095083895249,58249
0.3219380174914126,14114
0.3145342735641772,13638
-0.28839661946608874,72535
-0.06788628645968764,67963
0.3946136080725142,20184
0.06688040573481047,66801
-0.11792876204431124,69048
0.40042942770033374,66548
-0.06986384053544947,66172
-0.071491078983827,99045
0.31524150500197345,435815
0.3510956443785971,18413
0.22570396008593097,20541
-0.13261049071215592,66536
-0.08969443824047074,66394
0.25638495600571476,74782
0.06429640864556996,19347
0.09412221352238959,20227
0.4538538744971228,73608
0.4798132510100517,14402
0.42991605746568107,18509
0.15786320781175522,68922
0.3621983350427733,18014
-0.06426475937159015,212528
0.42919520498373753,668225
0.06537101783659427,11487
0.3302056722671085,73332
0.06620881498693798,330657
-0.07252865435762423,26425
0.31675788603037036,74090
0.36363973080913237,100504285
-0.05691150573015591,110826
0.48215596102197544,637277
-0.0705626989273962,66445
-0.08216976921836094,67106
0.09259701194676095,15505
0.07362597927419978,27050
0.335353667683306,19700
0.22945515724134147,228413
0.4594986021709033,242377
-0.09307611347467759,215418
0.08520700058995923,94249
0.15309395382439028,16865
-0.07189479851103897,69089
0.1520624166871274,320502
0.1359425522691997,83771
-0.14066053060732342,69028
0.4687788030844622,278180
0.538169751559979,18429
-0.0692502268908104,215814
0.2513232394106044,244646
-0.3859945837834573,71382
0.19702192479116754,93672
0.4120645751403491,78134
0.28115199321913087,75777
-0.09913526699151243,11676
0.3286281565230924,272636
0.1014669948579483,22601
-0.05437824178646844,231712
0.26403249913187476,230883
-0.08478288979059734,50793
-0.086719710226832,66922
0.3119647704742303,66260
-0.0771543377383681,13722
0.48470539115889677,192200
0.32083165789373735,22044
-0.059521474326767354,320795
0.5279422818977606,16433
0.12731553706663234,99167
0.06748268308635241,214895
0.14371852757317916,13198
0.17441265216993918,66371
0.4601289248035596,15401
-0.08668775050312716,15382
-0.11092453414780135,93737
-0.4423831139297367,57814
0.48088705737062565,12840
0.12420503719457798,12412
0.19344065664805,14299
-0.07840442391120428,57373
0.1730790278986878,70335
0.14007389402214399,68428
-0.07112158172405447,66824
-0.6237657617079464,12814
-0.054474567765597115,67711
0.39922630900684686,53321
-0.08377335383912365,57916
0.38867130325412,18092
-0.07035707608477448,17855
-0.2373085632960512,245026
0.5655117393455247,29866
-0.10710860344237627,18632
0.44747247610959473,74717
0.08948316732540951,14409
-0.7365463006156108,94275
0.06969164363266289,16981
0.10055699304693189,27426
-0.0862260234791492,27058
0.24771658595193324,213402
-0.06771982929605969,75454
-0.053123651107119585,104771
0.34429301522594136,74053
0.11772482350793956,20725
-0.10025534271752479,66200
-0.5004980479489607,57249
-0.08421345368549948,27211
-0.08421345368549948,22121
-0.08421345368549948,27208
-0.08421345368549948,27210
0.08998721776885388,78771
0.3878303304273176,75828
0.4133551441820442,16706
-0.09615390260516676,57357
-0.07778546238008222,80907
0.5658410406056014,72373
-0.10668659129216618,229499
-0.04409207852481378,26442
0.06502846035863019,21906
-0.11994495254014659,66131
-0.07977432404519913,231874
-0.06586360628507881,59054
0.2583065922156269,109323
-0.07670466816783295,66694
-0.10741806669962406,19070
-0.0896421310723845,20523
-0.34745547455945713,22222
0.0694073385581051,13196
-0.058039548162610366,77056
-0.08138899422847379,103468
-0.10193286637870624,19652
-0.08778332374968123,23988
-0.7145732286589364,407790
0.17730667063606953,56788
-0.08739835769398141,14148
-0.07998984804754361,30795
-0.06484964333301324,22632
-0.0656568241733666,28135
0.3140692650297119,56358
-0.10882855171639605,56176
0.37688689515771623,19659
0.7740370716805733,235106
-0.07373652603847924,12015
0.44101723837195017,12808
-0.10778082777172182,74185
0.139656209169154,215335
-0.06392878864376783,19385
0.05355421567596075,18022
0.16605282259916665,213760
-0.060988756131030275,71673
-0.0751529050065538,16588
-0.10584071174579357,69606
-0.35139799786948966,72058
0.06540987769177109,12043
-0.06456918163012437,224824
0.3458545534331887,69640
-0.12943768526019506,213211
-0.09724205946562803,66241
-0.05825978772172258,56417
0.09642065694184199,319899
-0.04383578863249138,17826
0.09444557100767481,403178
-0.05628890180829593,13667
-0.08938652074909381,68332
-0.052599205476041355,68559
-0.08782408868138125,56748
-0.07615000766639168,52637
-0.15279939527620234,66701
0.1933271412009323,11877
0.4971013601494385,228684
0.09194042813103431,268857
0.119134372058471,21819
0.1154692194572422,66065
-0.07727287749551426,226646
-0.0930913009947032,73836
0.6632980251435519,330914
-0.05188086146647386,17319
0.0836854229527364,71973
-0.06642081743765882,19082
0.3821386886931375,17831
-0.8071853562253517,76917
-0.09966160270365387,14312
-0.10143910115244026,245886
0.4559745177592256,71756
-0.060987746585003055,15356
-0.06864905255823217,94245
-0.0774251688349632,58810
-0.08365377336779156,21371
0.2147068767508502,53886
-0.06633076473057464,21854
0.09338618397433729,19128
0.15081162282811444,16650
-0.0770648235393323,71665
-0.08427030700642879,212398
-0.3950513612795685,20410
-0.2527727652309184,58802
0.38301286059384987,14732
0.059627125505806955,19346
-0.08405034116026755,22032
-0.2681438520377091,330890
-0.056109621820907396,68375
-0.07346689593480482,69745
0.5650660994031438,234129
-0.07143539270773314,66044
0.26425647158571497,52028
-0.06797390214408194,231507
-0.07595156480188114,12506
0.10902205630150563,19201
0.4449026443163686,11998
0.17107802146362028,68764
-0.06679707045412231,68537
-0.0857932964645074,69009
-0.13032506239818176,12626
-0.059722795296311304,21376
0.42676599302372065,21744
0.060106367437389174,17113
-0.08192209311415244,53895
0.05206633192494481,67623
-0.15927207780307562,70533
0.3433153615377935,16612
-0.14628670569712243,18642
-0.06458221677682063,66890
0.3033033047534013,14348
0.41128056599212437,268934
0.05696100138287097,17527
-0.08587016846077633,20729
0.3455646617752808,211612
0.14427773810653344,70393
0.14427773810653344,103841
0.1095089746849065,22317
0.1095089746849065,78668
0.4217038728724525,69191
0.2981266825617639,626359
0.19976426789359536,81907
-0.07057350480203795,69740
-0.08092107047124886,217151
-0.1018898552807408,227620
-0.13439462923600054,67602
0.08380475259818487,20562
0.5418343248831754,214301
-0.06305954107575396,68836
-0.7339744458835304,19268
-0.06141062754817339,19058
-0.564954452158732,19242
-0.08055730734304811,67211
0.08601926405643257,76787
-0.05262961269168365,110323
-0.06034098559920542,353242
-0.47698870555170525,237877
0.12851315240445516,217207
0.06897821663067338,11964
-0.11090766642063743,67698
-0.2661041516471294,22017
-0.056456202594104,74097
-0.14179687773294258,56075
0.0728282838959311,20527
0.19340470962536793,18230
-0.15917799446067926,72022
-0.05460419298938479,78473
0.23194936381422648,258469
0.08110223561963048,67463
0.06514001966694138,16408
0.4255102158237145,100503361
0.33718338510750456,14602
0.10303682508376566,269954
0.2502448641940318,70355
-0.05669098524251792,225745
-0.06884465272375762,55927
-0.4442273219491897,69263
0.1280578896579394,17754
-0.06163006034031904,17246
0.3852949860522932,71300
-0.09811270837452923,77006
0.1460959152041963,78787
-0.14469629360337422,11593
-0.3798073191594127,66810
-0.14325924140330715,14760
0.14185251936805665,230587
-0.06331897865991332,66409
-0.07624185786594051,75212
-0.07624185786594051,16068
-0.07370823222005196,16434
-0.06456132209681664,69709
-0.06835676058652052,77134
0.30012704302354587,19252
-0.2545430975017404,69923
0.5312547978309361,171531
-0.19054662961564084,68346
-0.06466839531053381,68603
-0.05505980298848856,26987
-0.06798386646412702,17305
-0.05887776622930119,217779
0.07377818837110395,12335
-0.13040675445855676,20525
-0.12373298476158823,67733
-0.35027927516765467,19085
0.3033765139020148,75305
-0.07083976257394742,317757
0.22582023628755143,26380
-0.09088156206431508,13170
0.08598856967376456,14211
0.5065623125333731,76002
-0.050266928581913284,70510
0.9669605042328548,18217
-0.10246756470700902,66443
-0.09352985640938893,27784
-0.15664010846167997,70359
0.11390333650671502,228769
0.05274993800403438,110172
0.4345524345726526,20897
-0.06516250089409148,77254
0.5155921130058858,83379
-0.07461847465693516,18148
0.35000397879167355,216867
0.106024063993158,18778
0.35362543215157016,16591
0.09097680621210058,50772
-0.07513704582163028,15312
-0.09209761160651064,104175
0.2840276019356094,24131
-0.05965253934392756,56412
-0.1365189606992252,20776
-0.07090211695764648,30931
0.4313654896793979,380709
0.07695221005101294,17134
-0.060141499128578246,19342
-0.06424772285662694,20641
0.23377811420864925,17150
-0.07575308232800815,74255
0.1371585920890337,84653
-0.08815353339462728,66248
0.20985928714839464,16370
-0.08107444666406449,67464
0.08850529146300978,217356
-0.08850414592966294,218442
-0.19498181940083636,191578
0.2219652303617723,65246
-0.12935753530594374,74467
-0.08557945804446598,259277
0.20128095582983274,14812
-0.09059403273467082,18120
-0.05794559977179148,68047
0.090643840715113555,19645
-0.06468537880515735,76238
-0.4826063011144308,15507
-0.0748982972782799,105513
-0.065093487851978,67160
0.07776178654991339,14296
-0.06422542370111861,52538
-0.05327297448313617,263876
-0.05149960427328093,66711
-0.3547494645997049,22409
-0.3092079038833635,67065
-0.0769543285235863,234344
0.06796230629889033,66853
-0.055339136310096126,79044
-0.055339136310096126,79059
0.37295637383279523,75578
-0.0706698368753651,16912
-0.07796241706388507,13537
-0.09759268841444602,17686
0.11383129332596864,100608
0.20668672780268738,14218
0.05778555782538586,14057
0.0667347396293061,64213
0.04635898720032383,19245
0.14130975518071986,217353
0.12951935484418708,320376
-0.06483195443326872,66231
0.1787299445347359,12399
-0.05477226570296523,66108
0.157014469332315,26970
-0.07858339488125088,218335
0.19889061962222998,270669
0.19889061962222998,100073351
-0.11554864937680831,72085
0.1306955626487536,103554
0.1659483739781642,234724
0.3788850398509789,14009
-0.4144420681709533,99010
-0.06396054838935772,26891
0.07845257415776263,12266
-0.08974716762346313,71330
0.21960730581835186,243339
0.46435231517835396,12728
0.16266702904798036,75689
0.3052407531265593,22141
0.5342276996587305,258355
-0.07321525585317001,94062
0.2034352162795514,100502861
-0.057640855996488494,108121
0.10876330105878385,232679
-0.3272108065139703,27354
-0.04875354912279528,116891
0.3070015242846864,71296
0.20405931914941178,11790
0.045096731623588404,56351
0.24082489812328411,269615
0.6988599340925112,12571
-0.12964688505923805,19691
0.21935495575505115,16326
0.351193782378423,381073
-0.07604815398905806,215201
-0.08442840636658078,52713
-0.05241943713219799,17995
0.4231524057281191,241624
-0.16459183889683926,67019
-0.052319437945136826,56451
-0.04320308900719194,216150
-0.05446824456956101,22218
0.14868981824959437,67860
-0.11795645163275381,56089
-0.07600117712895971,67725
0.3224245680439548,319555
-0.10626384099690167,208154
-0.06303664448213064,18655
-0.05320124677375171,66354
-0.07961082701571565,67460
0.41448532212236944,110895
0.34873634467216297,81904
0.22911968677001138,50779
-0.289376899109417,66671
-0.09927083320692276,93696
-0.053372458578649695,20182
-0.2525300774276569,12876
-0.10686822568459675,16643
-0.06523574833563295,70186
0.39615222478293344,100040972
-0.07896929494425908,320162
0.3251586886245539,26557
-0.050364054094332644,66836
-0.05535096170249032,59001
0.3423530031495603,93885
-0.09086361572939294,228961
-0.08971039892442567,320816
-0.054029143908616906,27998
0.29409191831488624,330938
-0.08875299673458326,54369
-0.12922269253888397,65960
-0.17088385843072684,70083
-0.06614772118997392,19177
-0.057202199292633704,13681
-0.06643363280892434,21936
0.08176167609719887,20753
-0.10580148503349918,22781
0.10137153621681261,109624
-0.056706056644411085,19172
-0.05140052360733316,28084
-0.05140052360733316,54409
-0.05584618164115751,98221
-0.06293296475280696,14923
-0.06023833467019779,16842
0.07647578125299193,433864
0.07015781202875004,20199
0.36376140740491936,269693
-0.07835217357831414,109075
-0.06286065782728256,22196
-0.06029894246553669,70316
-0.37989544396745023,16780
-0.11695513966592719,224481
-0.06577829968169269,69833
0.35112357303686226,631797
0.08627415658022697,53857
-0.07870499018890476,74610
0.3330501876814198,246317
0.3334636587630633,228598
-0.635117598461616,14266
-0.05597501821030271,23939
-0.07324181396913376,18707
0.0967512420919383,229898
-0.05839505957569857,54383
-0.3637094321619412,27984
0.11366897798500286,14365
0.3283002628533791,13404
-0.0575522805629447,237336
0.06736133262230126,117146
0.796330973059332,18675
-0.07016804816333444,12953
-0.39857340318285095,11532
-0.28778224130526153,67128
-0.1172378335726143,12696
-0.05739220730673855,15896
-0.052302759862898895,56703
-0.10418279439587552,12894
-0.14617452226779193,68705
-0.0421698603966747,228869
0.08541447041093608,73910
-0.06263005728998472,218271
-0.06260215852669582,26921
-0.06567554029640243,56368
0.33898561364598834,20481
0.14333829271755638,71833
-0.057242206466215695,20491
-0.05346705265809337,68263
-0.0638093742319743,69878
-0.06423660932660846,67273
0.06704154007747087,216551
-0.22148523882338278,22385
0.26014026132740886,382571
0.26088268916883983,77055
0.3653915777888064,545824
0.28647073715713134,403171
0.15391307300667734,71584
-0.06710530542815318,66085
-0.090578204536087,57896
0.6627649011623855,12279
0.13678665575222926,117229
-0.550770272985516,20997
-0.06438620575853893,68499
0.11640466214208534,140780
0.4362265437717032,16426
0.23865785611397872,18119
-0.05364571164344101,67680
-0.052524501560709425,22245
-0.08809713417526144,216820
-0.08952453491759105,12703
-0.07158455928417284,224624
0.26591768288435125,74249
-0.07010352403197961,66854
0.05309683484703687,68033
-0.06900657899179397,71949
-0.09682114832751543,66208
0.11971228950738677,380780
0.10574576987599382,23806
0.34520220238051014,16515
-0.04833916884922562,20603
-0.1108667768563274,71897
0.29776961084957776,208258
-0.05838659199020624,28077
0.540270332323106,66344
0.07341258730126343,14729
-0.049023000319377896,20345
-0.0724158865554374,67049
-0.06557509634732073,17068
0.06044140693962596,18220
-0.06654382738711018,217140
0.5180204771506989,70363
0.13551131985989695,18125
0.25283459225671434,12475
-0.07935822784760971,56695
-0.3568963969323229,16880
-0.04931020966657362,24068
0.038656250461989394,13660
-0.058769739455112546,66827
-0.08499665550633573,140858
-0.05880893393792741,68634
0.07097361561263682,27060
0.24043981821545124,667918
0.12009499408353985,13384
-0.040372411287669774,102115
-0.2592037218811658,105837
-0.19873931923343235,21926
-0.05403754157591667,66958
0.04351329869791298,20637
-0.060562033737743715,72482
0.054057710623442556,268490
0.45581615769717976,52589
0.13825699640792877,14293
0.060937094073701736,66193
-0.47837578093872946,19662
0.05746783147168388,16784
-0.06258176739122412,67941
-0.061930508290100494,216821
0.13690744570149027,242037
0.05549242101336116,16000
-0.38396545257852166,19120
0.10657786256378277,14029
-0.29460333110667714,71726
-0.2569773211280202,79221
0.06585880617328588,16905
-0.07164429261123573,19260
-0.05276831007991056,11433
-0.35890872411135755,239037
-0.16564129088424506,26378
0.20869597485382707,20460
0.13119814724862078,20739
-0.06965851547641311,54125
-0.07693783757604145,12261
0.052704692724916846,16419
0.04557601833636493,15519
-0.050428775563869266,55988
-0.07788841288442994,74143
