process,symbol,immune_set,set_size,immune_system,immune_subsystem,cells,btm,group,subgroup
T cell activation and signaling (M5.1),CD52,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD4,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD247,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD2,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CCR7,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),BIN2,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),HLA-DRA,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),IL12RB1,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRAT1,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),ZAP70,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRAF3IP3,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),HLA-DRB1,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),PRKAR1B,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),GIMAP6,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRA@,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),ITK,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),IL2RG,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRA@ /// TRAC,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD3E,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),TRA@ /// TRAC /// TRAJ17 /// TRAV20,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),PTPRC,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),PRKACB,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD3D,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),LCK,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
T cell activation and signaling (M5.1),CD3G,BTM by Modules,25,Adaptive,Cellular,T cell,M5.1,T CELLS,T CELLS
enriched in T cells (I) (M7.0),IL7R,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),KLRB1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CCL5,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),RASGRP1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRA@,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SH2D1A,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAV20,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),BCL11B,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD6,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD7,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRBC1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),LEF1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),NKG7,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),UBASH3A,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),PTPRCAP,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAC,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRD@,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAT1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SLA2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),RORA,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),MAL,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),EOMES,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),XCL2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),XCL1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ETS1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ZAP70,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SAMD3,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SIT1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),NLRC3,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),SIRPG,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),PRKCH,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ICOS,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD28,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TRAJ17,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),NELL2,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GNLY,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD27,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),LAT,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),FLT3LG,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),PRF1,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),PRKCQ,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GIMAP6,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GIMAP7,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GATA3,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ITK,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),LCK,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GZMA,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GZMB,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD96,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GZMM,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GZMH,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TIGIT,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GZMK,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),ITM2A,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD247,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),GPR171,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),IL32,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),TARP,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD3D,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD3E,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
enriched in T cells (I) (M7.0),CD3G,BTM by Modules,62,Adaptive,Cellular,T cell,M7.0,T CELLS,T CELLS
T cell activation (I) (M7.1),IL7R,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),RASGRP1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),THEMIS,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CCL5,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),TCF7,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),BCL11B,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD5,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),TIGIT,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD7,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD2,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CCR7,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD247,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),MS4A1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),PTPN22,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),TXK,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),TRBC1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),IL12RB1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),IKZF1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),SLA2,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CAMK4,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),RORA,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),EOMES,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),PRKCQ,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),ZAP70,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),SIT1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),NLRC3,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),DPP4,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),SIRPG,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),PRKCH,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),ICOS,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD28,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD27,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),RHOH,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD8A,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),ITPR3,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),LEF1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD8B,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),GATA3,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CRTAM,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),ITK,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),TRAC,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),KLRK1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),IL21R,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),LCK,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CORO1A,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),SLAMF7,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD3D,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD3E,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),SLAMF1,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (I) (M7.1),CD3G,BTM by Modules,50,Adaptive,Cellular,T cell,M7.1,T CELLS,T CELLS
T cell activation (II) (M7.3),CCL5,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),SP140,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),TIGIT,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CD247,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CCR5,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),NLRC3,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),PTPRCAP,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),STAT4,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),IL12RB1,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),TRAT1,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),SLA2,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CXCR3,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),ZAP70,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),NKG7,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),SIRPG,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),ICOS,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),IFNG,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),IL18R1,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),SLAMF7,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),PTPN7,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),ITK,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CRTAM,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),GZMA,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CD3E,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),GPR171,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),TRA@,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),TARP,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CD3D,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),LCK,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),SLAMF1,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (II) (M7.3),CD3G,BTM by Modules,31,Adaptive,Cellular,T cell,M7.3,T CELLS,T CELLS
T cell activation (III) (M7.4),KLF12,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),RASGRP1,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),THEMIS,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),NELL2,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),CD96,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),CAMK4,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),RORA,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),LCK,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),ATP8B2,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),ETS1,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),ZMYND11,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),PRKCQ,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),LEF1,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell activation (III) (M7.4),GLYR1 /// SEPT6,BTM by Modules,14,Adaptive,Cellular,T cell,M7.4,T CELLS,T CELLS
T cell differentiation (M14),UBASH3A,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),TCF7,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),CD28,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),TXK,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),ITK,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),NOG,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),LRRN3,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),BCL11B,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),RASGRP1,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),SPOCK2,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),SH2D1A,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation (M14),MAL,BTM by Modules,12,Adaptive,Cellular,T cell,M14,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),SIRPG,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),PRKCH,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),ITK,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),SH2D1A,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),ITM2A,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),ETS1,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),FASLG,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),SPOCK2,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),PRKCQ,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),ABLIM1,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation via ITK and PKC (M18),BCL2,BTM by Modules,11,Adaptive,Cellular,T cell,M18,T CELLS,T CELLS
T cell differentiation (Th2) (M19),UBASH3A,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),CD28,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),LCK,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),TRAT1,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),PKIA,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),HNRPLL,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),GZMK,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),LAT,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),ITM2A,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),GRAP2,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),IL32,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),GPR171,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),SIT1,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),DPP4,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),GATA3,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),MAL,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
T cell differentiation (Th2) (M19),CD3G,BTM by Modules,17,Adaptive,Cellular,Th2,M19,T CELLS,T CELLS
signaling in T cells (I) (M35.0),IL2RA,BTM by Modules,14,Adaptive,Cellular,T cell,M35.0,T CELLS,T CELLS
signaling in T cells (I) (M35.0),JUNB,BTM by Modules,14,Adaptive,Cellular,T cell,M35.0,T CELLS,T CELLS
