Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,p_adj
Human Day 1,Mouse Day 3,0.042,287,5999,497,6293,784,"ABCB8, ABLIM2, ACTL7A, ADAM19, ADAMTS13, AGBL4, AGK, AGPAT3, AHSG, AIF1L, AIG1, AIMP1, ALDH7A1, ALDOC, ALG9, AMPD2, ANKRD13D, ANKRD53, AQP11, ARHGAP27, ARHGAP32, ARL10, ASGR2, ASS1, ATL1, ATP7B, ATXN3, BCDIN3D, BCL2L12, BFSP1, BRD2, C1QB, C2CD4C, CBX1, CCDC106, CCDC142, CCDC153, CCL1, CCRL2, CCT4, CD27, CDK4, CDKN2C, CHCHD3, CIITA, CLCN5, CNTNAP1, COG2, COL6A2, COL9A2, COPZ2, CRTAP, CRYGA, CSF1, CSRNP1, CTNND1, CTRL, CUZD1, CYC1, CYP2E1, D2HGDH, DDIT3, DDN, DDO, DDRGK1, DDX1, DDX28, DDX47, DENND5A, DMPK, DOK7, DPP6, DUSP2, EBP, EIF2D, ELF4, EPHB2, EXTL2, FAM124B, FAM135B, FAM83F, FAM83G, FANCE, FBLN1, FGF13, FGFBP3, FGFR2, FGFRL1, FGGY, FIBP, FKBP3, FPR1, FUCA1, GIGYF1, GIPC1, GLIS1, GLOD4, GNPNAT1, GPAM, GPATCH8, GPHA2, GRB2, GRIK3, GRWD1, GSN, HAP1, HHAT, HINT2, HIPK2, HORMAD1, HS3ST1, ICA1L, ICAM1, IDH2, IFT140, IL10RA, IL24, INO80E, IPO4, IST1, ITPRIPL2, KCNJ12, KCNMB4, KLHL22, KLK12, KRT31, LAIR1, LANCL1, LHX1, LIN28A, LIN52, LMAN2L, LRIG2, MAD2L2, MAGED1, MANBAL, MAPK8IP2, MEF2C, MEIS2, MID1IP1, MITD1, MRPS10, MSL1, MTM1, MTPAP, MUC20, MUSK, MVK, MYB, MYLK2, MYOZ3, MYPOP, NAGPA, NBEAL1, NBN, NECAB2, NECAP1, NEGR1, NEURL2, NOG, NOSIP, NPC2, NR1H2, NRIP1, NRXN2, NSMCE2, NUAK1, NUBP1, NXT1, ORC3, OSM, OTOS, OXT, PACS2, PCGF5, PDGFA, PEX1, PFAS, PIGP, PIGZ, PLCB2, PLEKHG6, PLOD1, PM20D2, PNLIPRP1, POC5, POLR3D, POLR3H, POMP, POU3F1, PPM1D, PPP1R2, PRKAB1, PRRG4, PRSS8, PSMC2, PSTPIP2, PTPRN2, RAB24, REEP6, RFC4, RMI2, RPL13A, RPL30, RPS3, RRP7A, RUNX3, S100B, SCGB1A1, SCO1, SDHAF1, SH3BP1, SH3PXD2A, SKI, SLC19A2, SLC25A14, SLC25A4, SLC27A4, SLC31A2, SLC35F2, SLC38A10, SLC39A11, SLC4A7, SLC8A1, SLITRK4, SNX22, SORT1, SPATS2L, SPRYD3, SRGAP2, SSX2IP, STAM2, STK11IP, STK38L, STXBP4, SYS1, TAF9, TASP1, TEAD1, TFB1M, TG, TLR5, TLR8, TLR9, TM7SF2, TMED1, TMEM107, TMEM116, TMEM119, TMEM219, TMEM54, TMEM59, TNF, TNFRSF11A, TOM1, TOM1L2, TOR1A, TPMT, TPRA1, TRADD, TRAF1, TRAF4, TRANK1, TRAPPC9, TRIM69, TRPV4, TSPAN3, TST, TTC16, TUBG2, UBAP2L, UBE2G2, UBR1, UBTD1, UIMC1, VAMP1, WDR93, XPO7, XPOT, YPEL1, YY2, ZBTB1, ZBTB16, ZDBF2, ZDHHC12, ZNHIT3, ZSWIM7",4.56,36.61,0,0
Human Day 1,Human Day 7,0.225,1593,4693,809,6293,2407,"AATK, ABAT, ABCA1, ABCA7, ABCB9, ABCC5, ABCD1, ABHD14A, ABHD2, ABTB1, ACADSB, ACAP2, ACD, ACOT13, ACP1, ACSL1, ACSS2, ACTL6A, ACTR1A, ACYP2, ADA, ADAM8, ADAR, ADCY9, ADD2, ADD3, ADORA2B, AGFG1, AGMAT, AGPAT4, AKAP13, AKIRIN2, AKR1B1, ALDH1A1, ALDH2, ALDOA, ALG1, ALG10B, ALG5, ALG6, ALG8, ALKBH7, ALPK3, AMPD2, ANAPC11, ANAPC5, ANGEL2, ANK1, ANKFY1, ANKRD11, ANKRD13A, ANKRD16, ANKRD39, ANKZF1, ANO10, ANP32A, ANP32B, ANPEP, ANTXR2, ANXA11, AOAH, AOC3, AP1M1, APBB1IP, APH1B, APLP2, APOBR, AQP3, AQP9, AQR, ARAP1, ARAP3, ARF3, ARHGAP1, ARHGAP12, ARHGAP25, ARHGAP26, ARHGAP27, ARHGAP31, ARHGDIB, ARHGEF10L, ARHGEF11, ARHGEF37, ARHGEF40, ARL11, ARL4C, ARMCX6, ARPC5, ARPC5L, ARRB2, ARRDC1, ARSG, ASAP1, ASF1B, ASGR1, ASGR2, ASNS, ASPH, ASPRV1, ASXL1, ATAD1, ATF4, ATF7IP, ATG2A, ATP11A, ATP2B1, ATP2B4, ATP6AP1, ATP6V0A1, ATP6V0D1, ATP6V1A, ATP6V1B2, ATP8A1, ATXN2, AVIL, B3GNTL1, B4GALT3, B4GALT5, B9D2, BACE1, BACH1, BAIAP2, BATF3, BAZ2A, BBX, BCKDK, BCL3, BCL6, BECN1, BEND7, BEST1, BEX2, BHLHE41, BICD2, BIK, BLK, BMX, BNIP3, BOLA3, BPGM, BRAT1, BRD3, BRI3, BRK1, BRWD3, BST1, BTF3, BTG3, BTLA, BYSL, C1GALT1C1, C1QBP, C1RL, CACNA2D3, CACNA2D4, CADM1, CAMK1, CAMK2G, CAMKK1, CAMTA1, CANT1, CAPN5, CARD6, CARD9, CASP3, CASP9, CASS4, CBFA2T3, CCDC102A, CCDC14, CCDC149, CCDC153, CCDC167, CCDC57, CCL25, CCNC, CCPG1, CCR1, CCRL2, CCT2, CCT4, CD19, CD27, CD28, CD300E, CD300LF, CD302, CD320, CD38, CD3D, CD46, CD68, CD79B, CD93, CDA, CDC14A, CDC16, CDC27, CDC42BPB, CDC42EP2, CDCA7L, CDH11, CDH16, CDH2, CDH23, CDH26, CDK19, CDK9, CDKL1, CDKL5, CDKN2C, CDS2, CEBPB, CENPF, CENPM, CEP128, CEP19, CEP290, CEP350, CEP57, CEP63, CERS2, CFLAR, CFP, CHAC1, CHD1, CHD2, CHFR, CHIC2, CHKA, CHMP2A, CHPF, CHRNA10, CHST12, CHST15, CHST7, CHTOP, CIDEB, CIITA, CIR1, CLASP2, CLCN5, CLDND1, CLEC1A, CLEC4D, CLEC4E, CLEC5A, CLEC7A, CLIC4, CLNS1A, CLPTM1L, CMC1, CMIP, CMTM6, CNKSR1, CNKSR2, CNPY2, CNPY3, CNTNAP3, COBLL1, COCH, COL15A1, COL4A4, COMMD10, COMMD3, COMMD4, COPB2, COPZ1, CORO2A, COX17, COX7A2L, COX7B, COX7C, CPD, CPNE2, CPNE5, CPOX, CPPED1, CPSF4, CPSF7, CPT2, CPVL, CREG1, CRISPLD2, CRNKL1, CRTC2, CSAD, CSF1R, CSF3R, CSNK1D, CSRNP1, CSRP2, CTBP2, CTBS, CTDSP1, CTDSP2, CTNNA1, CTSD, CTSE, CTSS, CUEDC1, CUL4A, CUTA, CWC25, CWF19L1, CXCL16, CXCR3, CXXC5, CYBB, CYFIP1, CYP1B1, CYP27A1, CYP2S1, CYTH4, DAD1, DAPK1, DAZAP2, DCBLD1, DCUN1D5, DDX1, DDX21, DEDD, DEF8, DENND1B, DENND5A, DGAT1, DGKG, DHRS13, DHX36, DHX8, DIAPH1, DIAPH2, DICER1, DIMT1, DMXL2, DNAJB11, DNAJB12, DNAJB5, DNAJB9, DNAJC1, DNAJC13, DNAJC5, DNTTIP1, DOCK10, DOCK8, DOK1, DOK7, DPEP2, DPH5, DPY30, DPYD, DPYSL2, DSC2, DSE, DTX2, DTX3L, DUS1L, DUSP12, DUSP3, DUSP5, DUSP6, DYM, DYNC1H1, DYNC1LI1, DYSF, E2F6, EBAG9, EBNA1BP2, EBP, ECE1, ECHDC1, ECI1, EEF1E1, EEPD1, EFEMP2, EFHD2, EFNB1, EGR1, EHBP1L1, EHD1, EIF2AK2, EIF3B, EIF3D, EIF3E, EIF3F, EIF3I, EIF3K, EIF4E3, EIF4G3, ELAVL2, ELF4, ELL, EMILIN2, EMP1, ENG, ENPP4, EP300, EPB41L3, EPHB1, EPHB4, EPHX1, ERGIC1, ERGIC3, ERLEC1, ERP29, ETS2, ETV6, EXOSC1, EXOSC7, EXOSC8, EXTL3, EZH1, F2RL1, FAM110A, FAM13A, FAM174A, FAM185A, FAM3C, FAM3D, FAM53B, FAM53C, FANCL, FAU, FBL, FBP1, FBXL13, FBXL20, FCHO1, FES, FGD3, FGD4, FGL2, FGR, FHOD1, FIG4, FKBP11, FKBP14, FKBP15, FKBP1A, FKBP2, FKBP3, FKBP9, FLII, FMNL1, FMR1, FNIP2, FPR1, FPR2, FRMD4B, FRMD8, FRY, FSCN1, FUT8, FXN, FZD1, FZD2, GAA, GAB2, GABARAPL1, GADD45B, GADD45G, GALK2, GAS7, GATA2, GATAD2A, GBE1, GCA, GCC1, GCHFR, GCSH, GDI1, GFRA2, GGA3, GGT5, GHRL, GIGYF2, GIMAP5, GIMAP8, GIT2, GK, GLA, GLB1, GLCCI1, GLG1, GLIPR2, GLRX, GLT1D1, GLT8D1, GLUL, GLYAT, GMPR, GNA15, GNAQ, GNB4, GNL3, GNS, GOLGA2, GPAA1, GPCPD1, GPR107, GPR18, GPR183, GPR26, GPR35, GPX3, GRB2, GRIPAP1, GRN, GSK3B, GSTZ1, GTF2I, GTF3A, GTF3C3, GTPBP8, GZMA, GZMK, HAAO, HAPLN3, HARS2, HAUS1, HAUS4, HAUS6, HBP1, HCCS, HCK, HCLS1, HDAC4, HDHD2, HDLBP, HERPUD2, HGS, HIBCH, HIF1A, HINT1, HINT2, HIPK1, HIPK3, HIVEP1, HJURP, HK3, HLX, HMGCR, HMGCS1, HOMER3, HOPX, HORMAD1, HPSE, HS6ST1, HSD17B11, HSD17B8, HSF2, HSPA14, HSPA8, HSPBAP1, HTATIP2, IAH1, ICAM1, ICOS, ID4, IDH2, IDS, IER2, IFI27, IFI30, IFITM2, IFNAR1, IFNGR2, IFRD1, IFRD2, IFT80, IGSF6, IKBKB, IL13RA1, IL17RA, IL17RC, IL1R1, IL1R2, IL1RAP, IL1RN, ILF2, IMPA1, IMPA2, INPP5A, INPP5D, INPPL1, INTS3, IPMK, IPO7, IQCB1, IQCE, IQSEC1, IRAK3, IRF9, IRS2, ITGA5, ITGAX, ITGB7, ITM2B, ITM2C, ITPKC, ITPRIP, JAK1, JARID2, JDP2, JMJD1C, JMY, JPH4, KANK2, KAT8, KBTBD11, KCNA3, KCNAB2, KCNE3, KCNJ15, KCNJ2, KCNQ1, KCTD15, KCTD20, KDM4B, KDM5B, KDM6B, KIF13A, KIF1B, KIF1C, KIF22, KIF3C, KIFAP3, KLC3, KLF12, KLF4, KLF6, KLF7, KLF9, KLHDC8B, KLHL14, KLHL18, KPNA3, KPNB1, KRT23, KRTCAP2, KTN1, KYNU, L2HGDH, LAMP2, LANCL1, LASP1, LAT2, LATS2, LAX1, LCP1, LEPROTL1, LHCGR, LILRA5, LIMA1, LIMK2, LIN7A, LITAF, LMAN2L, LMO2, LNX2, LOXL3, LPAR2, LPCAT1, LRFN1, LRG1, LRRC25, LRRC36, LRRC4, LRRC8A, LRRK2, LSM2, LSM5, LSM7, LTBP4, LTC4S, LUC7L3, LY9, LYN, LYVE1, MACROD2, MADD, MAFB, MAGED1, MAGEH1, MAK, MAML3, MAN2A2, MANBA, MANEA, MANSC1, MAP2K5, MAP3K11, MAP3K2, MAP3K5, MAP3K6, MAP4K5, MAPK14, MARCKS, MARK2, MARK3, MARVELD1, MBD6, MBNL2, MBOAT1, MBOAT2, MBOAT7, MBP, MBTPS1, MCEE, MCL1, MCOLN2, MCTP1, MDH1, MEF2C, MEGF6, MEGF9, MEI1, MESP1, METTL17, METTL3, METTL5, MEX3C, MFF, MFSD6, MGRN1, MIA3, MICU1, MIDN, MIER3, MIF, MKLN1, MKNK2, MKRN1, MLKL, MLLT1, MLLT11, MME, MMP9, MNT, MOB3A, MOSPD1, MOSPD2, MPEG1, MPG, MPPE1, MPV17L2, MPZL1, MPZL2, MPZL3, MRPL32, MRPL34, MRPL37, MRPL39, MRPL45, MRPL46, MRPL55, MRPL9, MRPS18A, MRPS21, MRPS24, MRPS26, MRPS31, MRPS33, MRPS34, MS4A1, MSL1, MSN, MSRA, MSRB2, MTF1, MTMR11, MTMR14, MTMR6, MTX1, MVP, MXD1, MYADM, MYBPC3, MYD88, MYH9, MYL6, MYO19, MYO1D, MYO1F, MYO5A, MYO7A, MYO9A, MYO9B, MZB1, NACC2, NADK, NAE1, NAGK, NAIF1, NAMPT, NANS, NAP1L1, NBR1, NCEH1, NCF1, NCF2, NCF4, NCK1, NCOA1, NCOA7, NCOR2, NDC80, NDE1, NDRG1, NDRG3, NDST2, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA9, NDUFAF4, NDUFB11, NDUFB8, NDUFB9, NDUFC1, NDUFS5, NECAB2, NEDD9, NENF, NET1, NEU1, NEXN, NFAM1, NFAT5, NFKB2, NFKBIZ, NFYC, NGLY1, NHP2, NHSL2, NINJ1, NIPBL, NKRF, NLRC4, NLRP3, NLRX1, NMB, NME2, NMNAT1, NMT1, NOC3L, NOD2, NOL11, NOL7, NOP16, NOSIP, NOTCH2, NPC2, NPEPL1, NPM1, NR3C1, NRBF2, NRN1, NRN1L, NSD1, NSUN7, NT5C, NT5C2, NTAN1, NTNG2, NUCB2, NUDT1, NUDT16, NUMB, NUP107, NUP88, NUSAP1, NVL, NXT1, NXT2, OCIAD2, OGT, OLA1, OLAH, OPRK1, ORMDL1, ORMDL2, OS9, OSBPL10, OSBPL2, OSCAR, OSCP1, OSGIN1, OSM, OSTC, OSTM1, OTX1, OVCA2, OXSM, P2RX5, P2RY13, P2RY2, P4HA1, PA2G4, PABPC1, PACS1, PACS2, PADI2, PADI4, PAF1, PAK1, PAK2, PANK2, PANK3, PAOX, PAPSS2, PASK, PBXIP1, PCBD1, PCMTD2, PCNP, PDCD1, PDCD10, PDCD2, PDCD2L, PDCL3, PDE4A, PDIA5, PDIA6, PDK1, PDK3, PDLIM5, PDP1, PDXDC1, PDXK, PEBP1, PECAM1, PELI1, PELI2, PELI3, PEX3, PFDN5, PFKFB4, PGM3, PHACTR1, PHC2, PHC3, PHF20, PHKA2, PHPT1, PI4K2B, PIAS1, PIF1, PIGB, PIGH, PIGK, PILRA, PIM2, PIP4K2A, PISD, PITHD1, PITPNA, PJA1, PJA2, PLA2G7, PLAC8, PLAG1, PLAGL2, PLAU, PLAUR, PLB1, PLBD1, PLCB1, PLCB2, PLD1, PLD2, PLEK2, PLEKHG3, PLEKHO1, PLEKHO2, PLIN3, PLOD1, PLSCR1, PLXDC2, PLXNB2, PLXND1, PNKD, POLD3, POLG, POLR2H, POLR2I, POLR2L, POLR3K, POP5, POU2AF1, PPA1, PPARD, PPAT, PPCDC, PPFIA1, PPIA, PPIF, PPIL3, PPM1F, PPP1R10, PPP1R12B, PPP1R14B, PPP1R21, PPP1R3D, PPP3CC, PPP4R1, PPT1, PPTC7, PRAM1, PRC1, PRCP, PRDM1, PRDM5, PREB, PRKAG2, PRKAR1A, PRKCD, PRKCZ, PROC, PRPF4, PRR13, PSAP, PSAT1, PSEN1, PSMA3, PSMA5, PSMA6, PSMB2, PSMB6, PSMC2, PSMC3, PSMD9, PSMG3, PTAR1, PTBP3, PTEN, PTGS2, PTPRC, PTPRCAP, PTPRE, PTPRJ, PTPRS, PTTG1IP, PTX3, PUS3, PUSL1, PWP1, PXK, PYCR1, QPCTL, QSOX1, RAB11FIP1, RAB20, RAB24, RAB30, RAB31, RAB32, RAB33A, RAB35, RAB36, RAB37, RAB3D, RAB43, RABAC1, RABGAP1L, RAC2, RAD51C, RAD54L2, RALB, RAN, RARA, RARS2, RASGRP3, RASGRP4, RASSF2, RASSF5, RBM17, RBM41, RBM47, RBP7, RCL1, RCN2, RCOR1, RECQL4, REL, RELA, RELL1, RELT, RENBP, REPS2, REXO2, RFC1, RFFL, RFX3, RFX7, RGL3, RGS10, RGS19, RGS2, RGS4, RHBDD2, RHBDD3, RHBDL3, RHOA, RHOG, RHOH, RILPL2, RIN2, RIN3, RIPK1, RIPK4, RLIM, RMI2, RNASE4, RNASEL, RNF112, RNF135, RNF138, RNF144B, RNF149, RNF169, RNF19B, RNF24, RNFT2, ROMO1, ROPN1L, RPAIN, RPGRIP1, RPL11, RPL15, RPL17, RPL21, RPL22L1, RPL23, RPL27, RPL30, RPL31, RPL35, RPL39, RPLP0, RPN2, RPS13, RPS15A, RPS27L, RPS3, RPS6KA4, RPS6KC1, RPUSD2, RRAGC, RRAS2, RSL24D1, RSPRY1, RTN1, RTN2, RTN3, RTN4, RUNDC1, RUNDC3A, RUNX2, RWDD1, RXRA, S100PBP, S1PR4, SAMD3, SAP25, SAR1A, SAR1B, SASH3, SBF2, SBNO2, SCAF1, SCAI, SCAP, SCFD1, SCG2, SCGB1A1, SCN4B, SCO2, SCYL1, SEC11C, SEC14L1, SEC14L4, SEC23IP, SEC24A, SEC61A2, SEL1L, SEL1L3, SELL, SELPLG, SEMA3B, SEMA4D, SETBP1, SETD2, SETDB2, SETX, SF3B5, SFRP2, SGK1, SGPL1, SH2B2, SH2B3, SH2D1A, SH3BP2, SH3BP5L, SH3KBP1, SH3YL1, SHISA5, SIAH2, SIK1, SIK2, SIK3, SIPA1, SIPA1L2, SIRT6, SIRT7, SIVA1, SKAP2, SKI, SKP1, SLAMF1, SLAMF7, SLC12A6, SLC12A9, SLC13A3, SLC14A1, SLC15A3, SLC16A3, SLC16A5, SLC17A9, SLC19A1, SLC1A5, SLC22A1, SLC22A15, SLC22A4, SLC24A4, SLC25A12, SLC25A23, SLC25A37, SLC25A4, SLC25A42, SLC25A44, SLC27A1, SLC27A4, SLC27A5, SLC2A9, SLC30A1, SLC31A1, SLC31A2, SLC35B1, SLC35F2, SLC36A1, SLC37A2, SLC38A10, SLC43A2, SLC44A1, SLC44A2, SLC45A4, SLC46A2, SLC4A1, SLC6A12, SLC6A9, SLC7A5, SLC7A7, SLC8A1, SLC9A8, SLCO3A1, SLCO4C1, SMARCA2, SMARCAD1, SMARCC1, SMARCC2, SMCHD1, SMPDL3A, SMPDL3B, SNAI3, SNAP23, SNAPC4, SNCA, SND1, SNF8, SNN, SNRPC, SNRPD2, SNRPE, SNRPF, SNX10, SNX11, SNX18, SNX21, SNX27, SNX30, SNX5, SOD1, SOD2, SORT1, SP1, SP110, SP2, SPAG5, SPAG9, SPATA2L, SPATA6, SPATS2, SPCS1, SPECC1, SPG21, SPINK2, SPINT1, SPNS2, SPOPL, SPP1, SPPL3, SPR, SPTB, SPTLC2, SRA1, SRGAP2, SRL, SRMS, SRPK2, SRPRB, SRRD, SRRM2, SRSF5, SS18L2, SSH1, SSH2, SSPN, SSR2, SSR4, ST3GAL2, ST6GAL1, ST6GALNAC6, STAC3, STAG2, STAM, STARD4, STAT1, STAT3, STAT5A, STK11IP, STK4, STK40, STMN1, STOM, STOML2, STRAP, STRBP, STT3A, STX11, STX12, STX3, STXBP5, SULF2, SURF6, SYK, TACC3, TAF10, TAF4, TAF8, TAF9, TALDO1, TANC2, TAOK1, TAPBP, TATDN3, TBC1D1, TBC1D14, TBC1D2, TBC1D22B, TBC1D8, TBL1X, TBPL1, TCEA1, TCEAL8, TCF20, TCF3, TCIRG1, TCTN3, TDRD9, TECPR2, TEP1, TFB2M, TGFBI, TGM3, TGM4, THADA, THBD, THOC5, THOC7, THRAP3, THYN1, TIGD3, TIMM17B, TIMM23, TIMM9, TIMP1, TJP2, TKT, TLR1, TLR2, TLR4, TLR5, TLR6, TLR8, TLR9, TM6SF1, TM7SF2, TM9SF4, TMCC1, TMCC2, TMED2, TMED3, TMEM106B, TMEM106C, TMEM120A, TMEM126B, TMEM127, TMEM132E, TMEM140, TMEM14C, TMEM154, TMEM164, TMEM167B, TMEM184B, TMEM19, TMEM208, TMEM214, TMEM223, TMEM234, TMEM33, TMEM42, TMEM50B, TMEM71, TMEM79, TMEM86B, TMEM88, TMEM9, TMEM91, TMEM9B, TMIE, TMUB2, TMX1, TMX4, TNFAIP2, TNFRSF17, TNFRSF1A, TNFRSF1B, TNFRSF8, TNFRSF9, TNFSF13B, TNS3, TOM1, TOMM20, TOMM6, TOMM7, TPCN1, TPCN2, TPD52, TPD52L2, TPP2, TPPP, TPPP3, TPR, TPT1, TRAM1, TRAM2, TRANK1, TRAPPC2L, TRAPPC9, TREM1, TREML2, TRIM10, TRIM21, TRIM25, TRIM39, TRIM8, TRMT112, TRPM2, TRPM6, TRPS1, TRPT1, TSEN34, TSHZ3, TSPAN14, TSPAN7, TSPO, TSPO2, TST, TTYH3, TUBA4A, TUBE1, TXNDC11, TXNDC5, TXNIP, TYROBP, UAP1, UBA5, UBE2B, UBE2D1, UBE2F, UBE2J1, UBE2Q2, UBE2S, UBE2T, UBE2V1, UBE4B, UBFD1, UBOX5, UBQLN1, UBR2, UBR4, UBTD1, UBXN11, UBXN2B, UFC1, UFL1, UGGT1, ULK1, ULK3, UNC119B, UNC93B1, UPK3A, UQCR10, UQCR11, UQCRH, UROD, USP15, USP16, USP32, UXT, VAMP3, VASP, VAV1, VDR, VEZF1, VEZT, VIM, VKORC1L1, VMP1, VPS13A, VPS35, VPS36, VPS37C, VPS54, VPS8, VRK3, VTI1A, WAS, WDFY3, WDFY4, WDR73, WEE1, WFIKKN1, WIPF1, WIPF2, WWP2, XBP1, XCL1, XKR8, XPO6, XPO7, XYLT1, YIF1A, YIPF2, ZBED3, ZBED5, ZBTB1, ZBTB3, ZBTB37, ZBTB5, ZC3H10, ZCCHC2, ZDHHC12, ZDHHC18, ZDHHC4, ZEB2, ZFAND1, ZFAND3, ZFHX3, ZFP36, ZFP36L2, ZFP62, ZFYVE1, ZMYM2, ZMYND15, ZNFX1, ZNHIT3, ZRANB2, ZWINT, ZYG11B, ZZEF1",25.31,66.18,0,0
