MM.Entrez,row,EffectSize,condition
11421,11421,0.2335525271859596,Fluad_168_PBMC
11423,11423,0.6108399935836857,Fluad_4_PBMC
11423,11423,0.4654651199218678,Fluad_8_PBMC
11423,11423,0.5603625931966612,Fluad_24_PBMC
11423,11423,0.6746358468065721,Fluad_48_PBMC
11423,11423,0.6269749635396581,Fluad_72_PBMC
11423,11423,0.7482215984324028,Fluad_168_PBMC
11425,11425,-0.06401185410445645,Fluad_4_PBMC
11425,11425,-0.06401185410445645,Fluad_4_PBMC
11425,11425,-0.36102327738081624,Fluad_8_PBMC
11425,11425,-0.36102327738081624,Fluad_8_PBMC
11425,11425,0.583449103908763,Fluad_24_PBMC
11425,11425,0.583449103908763,Fluad_24_PBMC
11425,11425,-0.13349230033099377,Fluad_48_PBMC
11425,11425,-0.13349230033099377,Fluad_48_PBMC
11425,11425,-0.2625376694676286,Fluad_72_PBMC
11425,11425,-0.2625376694676286,Fluad_72_PBMC
11425,11425,0.11250502746941364,Fluad_168_PBMC
11425,11425,0.11250502746941364,Fluad_168_PBMC
11428,11428,-0.33613102392430383,Fluad_4_PBMC
11428,11428,-0.401131922988404,Fluad_8_PBMC
11428,11428,-0.41110096450332506,Fluad_24_PBMC
11428,11428,-0.4064412326872573,Fluad_48_PBMC
11428,11428,-0.25456296441791065,Fluad_72_PBMC
11428,11428,-0.3457672245911072,Fluad_168_PBMC
11429,11429,0.07573322664772329,Fluad_4_PBMC
11429,11429,0.055472993345365595,Fluad_8_PBMC
11429,11429,0.04475026797334701,Fluad_24_PBMC
11429,11429,0.06289529681301487,Fluad_48_PBMC
11429,11429,0.05388064716299361,Fluad_72_PBMC
11429,11429,0.06062399544408313,Fluad_168_PBMC
11430,11430,0.005948264257868666,Fluad_4_PBMC
11430,11430,0.007192008524939633,Fluad_8_PBMC
11430,11430,-0.0714284933703414,Fluad_24_PBMC
11430,11430,-0.026888099284057478,Fluad_48_PBMC
11430,11430,-0.05485894620263869,Fluad_72_PBMC
11430,11430,-0.05164327425829563,Fluad_168_PBMC
11431,11431,-0.017196007035211888,Fluad_4_PBMC
11431,11431,-0.03677326814016479,Fluad_8_PBMC
11431,11431,0.03585503922798771,Fluad_24_PBMC
11431,11431,-0.004758060278376931,Fluad_48_PBMC
11431,11431,0.12575094795891958,Fluad_72_PBMC
11431,11431,-0.05740767611254985,Fluad_168_PBMC
11432,11432,-0.00657027212974483,Fluad_4_PBMC
11432,11432,0.06361897158895612,Fluad_8_PBMC
11432,11432,-0.06689554385618748,Fluad_24_PBMC
11432,11432,-0.006140824793232273,Fluad_48_PBMC
11432,11432,-0.012237596284081024,Fluad_72_PBMC
11432,11432,-0.022173789933381042,Fluad_168_PBMC
11433,11433,-0.09902649227430252,Fluad_4_PBMC
11433,11433,-0.10358239014774222,Fluad_8_PBMC
11433,11433,-0.11880206345352311,Fluad_24_PBMC
11433,11433,-0.1159025678554267,Fluad_48_PBMC
