MM.Entrez,EffectSize
11298,0.08609159552095358
11302,0.10909340738674932
11303,-0.05069574140812571
11304,0.06662113985897
11305,-0.04375002414678342
11306,0.04502638447748408
11307,-0.00550857782089098
11308,0.0169625403664817
11350,-0.03701386529003825
11352,-0.15959246116799175
11363,-0.08634396511666642
11364,-0.02953517152570795
11370,-0.01656808783147978
11409,-0.14109641694620878
11416,-0.0310420189822449
11419,-0.18495698777301284
11421,0.04431971797007161
11423,0.0316684557350122
11428,0.14673430347490335
11429,-0.0029109059451895
11430,-0.02018606342576179
11431,0.00788515965358271
11432,0.15828384508980342
11433,-0.02585056722866552
11434,-0.2107232804188728
11435,0.21357169145845625
11438,0.04519848876887122
11440,0.20759613288339773
11441,-0.00784556395494551
11443,0.01615948363127417
11444,-0.1094727291461668
11447,0.33267787006330907
11448,0.3114831807509224
11449,0.02898582740962219
11450,-0.12500843771953374
11464,-0.34662002588831187
11465,0.00842298777973127
11468,-0.01412823943977903
11470,0.33040011158137705
11471,0.12021193420337806
11472,-0.298865715168531
11475,0.12082123761741004
11477,-0.0658206839793336
11479,-0.02510147953258856
11480,-0.21628983850780423
11481,-0.13050308078669692
11482,0.04042159052634675
11484,-0.14322490520994569
11486,-0.01499539473155575
11487,0.05120912776038588
11488,0.04891232597327644
11489,0.15544861793365872
11490,0.0089112405243612
11491,0.00446462371782141
11492,0.05994152240330353
11495,0.08285740938954667
11496,-0.04183844270037573
11500,-0.279058446154429
11501,0.09994707681970416
11502,0.04451379947020895
11504,0.00510241564133684
11513,-0.02537549787710569
11514,0.30092991055581453
11515,0.12774996021910212
11516,-0.08394392118496441
11517,0.365984074673779
11518,-0.00572724965293502
11519,0.06449431182237886
11520,0.05222920567967604
11522,0.02346853681712479
11529,0.12451357204245016
11532,-0.07901331303452652
11534,4.304319912855626e-4
11535,-0.22971624691950063
11536,0.05482805906275923
11537,-0.4124759412482808
11538,-0.02209281077267144
11539,-0.09933630401255432
11540,-0.0173793555403301
11541,0.02712419219251627
11542,-0.3312381995026761
11545,-0.1023333416845018
11546,-0.09921477833425651
11548,0.05713003153725049
11549,-0.04586076197734168
11550,0.22316721602623124
11551,-0.4173678889067281
11552,-0.01478919864166083
11553,0.02909190277943141
11554,0.0830169384175421
11555,0.03936989378608757
11556,0.03742971331890721
11564,-0.02194347596296131
11565,-0.04513749023113789
11566,-0.12875400112708268
11567,-0.02264478247185764
11568,-0.5083548460452678
11569,0.11286959809098908
11571,0.00950828778262358
11576,0.05761740502889978
11593,-0.08426355079492076
11596,-0.07625212056172459
11600,0.09669641082800728
11601,0.11334044371092732
11602,0.0043814840039329
11603,-0.03380910237211942
11604,-0.1850057246078891
11605,-0.02877457432540442
11607,0.2976693804329187
11609,-0.12653517473458553
11610,0.0655223417431885
11614,0.10801769479447489
11622,-0.06328791122475241
11624,-0.03322901805208911
11625,0.04464338627249153
11628,0.0447965545344009
11629,0.04176363954102369
11630,-0.02576634297464908
11632,0.00904212610426125
11634,-0.04584850004753882
11636,0.09529270254732668
11637,-0.03159423746071921
11639,0.6729066683000151
11640,-0.1831710502291641
11642,-0.03704156917697432
11643,0.2866137469365455
11648,0.2464233488505951
11650,0.15242455683314193
11651,-0.02846284721330638
11652,-0.00883610170371396
11655,0.0928587328963304
11656,0.0023442831764564
11657,0.08461169271783175
11658,-0.12223327183779233
11666,0.01360975926648233
11668,0.03101639478663287
11669,0.0555396853467891
11670,0.04015110651747111
11671,-0.04319433046226884
11674,0.02055399957805281
11676,-0.11385687603535775
11677,-0.02012969667413955
11682,0.02291267724900514
11684,0.06822969068979479
11686,0.03343726586699169
11687,-0.4724997286178017
11688,0.19666141219659727
11689,0.03525950277356937
11692,0.00224992398037349
11694,0.05908084112888812
11698,-0.04218911749903586
11699,0.281804826007646
11704,0.04837697134882779
11705,0.17069835067272263
11717,0.10466025894943964
11720,0.10541795628333415
11727,-0.10789807824909035
11732,0.03785230659697358
11733,-0.0070922930437085
11735,0.27910367219668686
11736,-0.27473938558297384
11737,-0.00738932279732518
11739,-0.04414742554153328
11744,0.05271837615778496
11745,0.0022686159903591
11746,-0.16539397678641077
11747,0.03194864977838252
11749,-0.02178616327561267
11750,-0.01367664710127147
11754,0.04085866621488199
11757,0.0132361347448433
11758,0.03619820217017988
11761,0.25572288834019363
11764,-0.00545968166982024
11765,-0.00815637572140737
11767,-0.02629861756107754
11768,-0.03395908379442813
11769,0.00554783843472117
11770,-0.05874762959295587
11771,-0.00873533708493168
11772,0.02772519514947546
11773,0.03626555389954244
11774,-0.01682124770469872
11775,0.05020433078207897
11776,-0.02669317745900024
11777,0.03975363343980964
11778,0.02521467101706553
11781,-0.02417364388327447
11782,0.00369550272610208
11783,-0.06346901473876843
11784,-0.05857532332585125
11787,-0.01745881364180856
11789,0.05837532095542519
11790,0.1693551700356175
11792,-0.03750707914698914
11793,-0.06921011081729089
11796,-0.07237302206817509
11797,0.05967305432987002
11798,0.02314971079631123
11799,0.05180046174170139
11801,-0.1295640155159807
11803,-0.00135245443901732
11804,-0.02208245425487876
11806,-0.05643076364650512
11807,0.02673853368848133
11810,-0.01872156236555433
11811,0.902468425306714
11812,-0.31232291958623204
11814,0.06987792715998653
11815,-0.03192360989656118
11816,-0.02650099658085203
11818,0.0261707341807531
11819,-0.02443125467730444
11820,0.01500553475514321
11826,0.07634568928371577
11827,0.0496857533082955
11828,-0.07523118210779112
11829,0.01290441861954549
11830,0.18177852847910247
11831,0.34159811678551266
11832,0.00946158904804228
11833,0.19874850446321712
11834,-0.02331465087963513
11835,0.12198867744650244
11836,-0.02248424057001008
11837,0.00572452259321298
11838,-0.26908254440782065
11841,-0.03412234285086857
11842,0.00437867410991188
11843,-0.07623479021815305
11844,0.01037831811744283
11845,-0.04091348182048993
11846,-0.04444972135758207
11847,0.2112043416706868
11848,0.02795928226177402
11852,-0.23724170103104747
11853,0.09474718124000914
11855,-0.02683403038433152
11856,0.15831681859119717
11857,-0.00640837627036816
11858,-0.181350457192071
11859,0.2002653488620998
11861,0.01599609980664595
11863,-0.00881452542262595
11864,0.25140955654837516
11865,-0.15786163290923527
11867,-0.01487171624841288
