model,roc_auc,pr_auc,feature_set,framing,target,task
Logistic Regression,0.39988811726824713,0.7058407918619778,Direction only,transfer,sign_concordant,classification
Random Forest,0.39988811726824713,0.7058407918619778,Direction only,transfer,sign_concordant,classification
Neural Network,0.39988811726824713,0.7058407918619778,Direction only,transfer,sign_concordant,classification
Logistic Regression,0.499063530487156,0.7186546716354077,Direction + layers,transfer,sign_concordant,classification
Lasso,0.5023373457219052,0.7074115452708493,Direction + layers,transfer,sign_concordant,classification
Random Forest,0.8682409459269214,0.9482960619656233,Direction + layers,transfer,sign_concordant,classification
Neural Network,0.7219772748255842,0.8618314538856635,Direction + layers,transfer,sign_concordant,classification
