timepoint,padj_cutoff,l2fc_cutoff,.metric,.estimator,.estimate,model,truth,num_correct_tp,num_incorrect_fp
1,0.05,1,precision,binary,0.01904761904761905,FIT,up,4,196
1,0.1,0,precision,binary,0.23485376044568246,FIT,up,1349,139
1,0.1,0.1,precision,binary,0.23445732349841938,FIT,up,1335,153
1,0.1,0.5,precision,binary,0.22562674094707522,FIT,up,567,724
1,0.1,1,precision,binary,0.01904761904761905,FIT,up,4,196
1,0.2,0,precision,binary,0.2875882946518668,FIT,up,1710,119
1,0.2,0.1,precision,binary,0.28700238176250426,FIT,up,1687,142
1,0.2,0.5,precision,binary,0.2350376535869996,FIT,up,593,773
1,0.2,1,precision,binary,0.01904761904761905,FIT,up,4,196
1,0.3,0,precision,binary,0.33019179894179895,FIT,up,1997,109
1,0.3,0.1,precision,binary,0.32914151576123407,FIT,up,1963,143
1,0.3,0.5,precision,binary,0.2350376535869996,FIT,up,593,773
1,0.3,1,precision,binary,0.01904761904761905,FIT,up,4,196
1,0.4,0,precision,binary,0.3711441162069528,FIT,up,2274,81
1,0.4,0.1,precision,binary,0.3700381996346122,FIT,up,2228,127
1,0.4,0.5,precision,binary,0.2353407290015848,FIT,up,594,772
1,0.4,1,precision,binary,0.01904761904761905,FIT,up,4,196
1,0.5,0,precision,binary,0.4096209912536443,FIT,up,2529,67
1,0.5,0.1,precision,binary,0.40866258885766243,FIT,up,2472,123
1,0.5,0.5,precision,binary,0.2353407290015848,FIT,up,594,772
1,0.5,1,precision,binary,0.01904761904761905,FIT,up,4,196
3,0.05,0,precision,binary,0.039634146341463415,FIT,up,221,38
3,0.05,0.1,precision,binary,0.03990610328638498,FIT,up,221,38
3,0.05,0.5,precision,binary,0.04109077325364214,FIT,up,110,139
3,0.05,1,precision,binary,0,FIT,up,0,15
3,0.1,0,precision,binary,0.063848295059151,FIT,up,367,48
3,0.1,0.1,precision,binary,0.0638036809815951,FIT,up,364,51
3,0.1,0.5,precision,binary,0.058299294467137025,FIT,up,157,213
3,0.1,1,precision,binary,0,FIT,up,0,15
3,0.2,0,precision,binary,0.10991596638655463,FIT,up,654,49
3,0.2,0.1,precision,binary,0.11035768774368537,FIT,up,651,52
3,0.2,0.5,precision,binary,0.07322485207100592,FIT,up,198,268
3,0.2,1,precision,binary,0,FIT,up,0,15
3,0.3,0,precision,binary,0.1490170163555262,FIT,up,902,54
3,0.3,0.1,precision,binary,0.14927366839205208,FIT,up,894,62
3,0.3,0.5,precision,binary,0.07396449704142012,FIT,up,200,273
3,0.3,1,precision,binary,0,FIT,up,0,15
3,0.4,0,precision,binary,0.1937693687816017,FIT,up,1188,43
3,0.4,0.1,precision,binary,0.19391634980988592,FIT,up,1173,58
3,0.4,0.5,precision,binary,0.07393715341959335,FIT,up,200,273
3,0.4,1,precision,binary,0,FIT,up,0,15
3,0.5,0,precision,binary,0.23858853998057625,FIT,up,1474,39
3,0.5,0.1,precision,binary,0.23840841828345938,FIT,up,1450,63
