MM.Entrez,EffectSize
14807,-0.413575862
53623,-0.159054734
18142,0.27206324
244668,-0.49440278
108011,0.156057099
109778,0.248637628
245469,-0.175711786
56504,-0.888522335
15929,0.136599582
93843,-0.010940359
20832,0.358760405
27061,-0.026573996
72722,-0.066197154
16997,1.16290375
214162,-0.053841946
76568,0.151137473
71687,0.507630943
12502,-1.112249336
67091,0.471816322
20926,-0.011565113
54141,0.59737212
22248,0.4932818
19376,0.372254017
20316,0.234941882
12447,0.421180047
74377,0.12029965
170770,0.280439386
17868,-1.279849791
19182,-0.07894911
11432,0.291852728
19400,0.044810899
68427,0.029976286
14007,-0.082097084
22259,-0.170075699
107986,0.239176811
20375,0.253835497
67465,0.050827385
20852,0.01514669
16541,0.733373798
101568,0.293811208
71997,0.125282324
55982,0.266862261
68477,-0.026843752
17454,-0.21325685
71887,-0.12696621
11853,-0.119749878
21678,0.201801543
19015,0.032564934
23853,-0.146178415
18616,-0.427945666
70083,-0.104466439
76483,0.173262662
67563,-0.146741723
57875,0.249489115
27214,0.29464523
13163,-0.017637771
54219,0.481282838
75751,0.36651882
74140,0.08704239
56739,-0.281177337
16391,-0.336047752
105446,0.016641057
67881,-0.067265138
52585,0.039407473
13004,-0.633658333
234371,0.003304516
76813,-0.246881321
105980076,0.133808739
72368,0.133808739
73095,-0.400305591
66616,0.181594517
71810,0.071975967
239760,0.042698869
69875,0.042698869
13864,0.147686299
67023,0.305677572
77090,-0.232128788
13549,-0.004215086
109880,0.022785337
68198,-0.029399985
20585,-0.072026234
68879,0.034990301
56470,0.263868727
58175,-0.104722697
106861,-0.216267862
20641,0.123325235
77832,-0.117855355
21844,0.341892286
22084,-0.116194065
65962,-0.438010928
67959,-0.051050742
99412,-0.113927664
22245,0.059285525
20259,-0.330658649
22781,-0.455189706
103742,0.095856425
18979,-0.791696643
26362,0.321666965
21803,0.053744316
52132,-0.081557821
22700,-0.491852736
54194,0.013766532
20423,0.784907126
68079,0.151353198
98053,0.031264297
53895,0.127727635
66400,0.008104173
70785,-0.198012878
69792,0.012823192
18760,-0.401269721
16822,-0.108260268
110750,0.079403266
67877,-0.002349384
23992,0.187067365
14231,-0.041646893
83435,-0.205611046
56418,-0.038060103
22385,-0.075011016
224824,0.077144273
27398,0.255684493
17256,-0.019426941
14711,0.892584437
14814,-0.009183351
68137,-0.146887268
70209,-1.602268342
110175,-0.074969983
16450,-0.300569176
399566,0.017295499
66174,0.390987698
105298,0.40045467
14248,-0.118031343
21975,0.145188921
235040,0.049092176
60507,0.412805441
57435,-0.769187592
15193,-0.047328386
27221,0.136334128
11544,-0.141914203
67846,0.122646437
76916,0.047897662
85031,1.434291116
17216,0.185592004
24100,-0.144887707
17936,-0.037246508
26364,-1.045186295
16172,0.040114209
16777,0.475969131
84036,-0.020502897
70807,-0.043792584
12491,-0.349743955
26400,0.026021765
21856,0.235458355
11772,-0.16765736
59047,0.061817492
75613,0.030633374
57278,0.064087339
56457,-0.035892141
19698,-0.016263583
53333,0.279220129
11816,0.841043665
11813,0.946180733
73389,0.072647466
19088,-0.22589718
12576,-0.170970602
16600,-0.379984368
11767,0.014621269
17274,0.032392295
15331,0.027337298
67922,-0.159168099
13710,0.385183192
76205,0.02905797
20869,0.070127775
13637,0.03145257
66043,0.232785731
19060,0.246827193
69131,-0.003215635
16890,-0.020752053
18475,-0.002506868
54610,0.540943574
52846,0.048884824
20527,-0.789052808
60611,-0.163633798
109552,-0.120677349
13356,0.041075723
54131,-0.03878024
75736,0.079430208
224893,-0.121940658
68047,0.165385488
20405,0.042638642
50498,0.027789902
72886,-0.069159387
19386,0.018732576
13608,0.265887362
14773,-0.525583069
13544,0.04323891
27406,0.006610307
224045,0.065787608
19158,-0.005309779
54200,1.08233825
12348,0.373873306
56711,0.025366194
15162,-0.08016973
66163,-0.02625781
50868,0.016757407
11768,0.560478037
20340,-0.035168403
208198,0.006536337
103236,-0.101964938
216169,0.013875678
208228,-0.023557075
12297,0.160431939
105833,-0.114892554
66120,0.735631718
74351,-0.134008601
18807,0.367537334
14809,0.201937904
12518,-0.728844282
14470,-0.067613964
27049,-0.15307733
19089,0.158479863
69908,-0.150394073
241230,-0.322752118
14132,0.09781736
66394,-0.09966112
68845,-0.093054921
27207,0.427517986
