MM.Entrez,mean_log2fc
11298,0.08100389379999999
11302,0.2223384405999999
11303,0.04190221120000004
11304,0.28174589
11305,-0.13529030720000002
11306,-0.6162844200000002
11307,-0.42460542219999986
11308,0.17366789539999986
11350,-0.2651617361999997
11352,-0.1360474105999998
11363,0.6966455752000004
11364,0.46241246300000005
11370,0.4914799277999998
11409,-0.015379137000000225
11416,0.2558115124000002
11419,0.09340810699999993
11421,-0.6415040187999995
11423,-1.1244502666
11425,-1.0065864968
11428,-0.01845381820000025
11429,0.6876168027999995
11430,-0.09822351979999999
11431,-0.49891890260000016
11432,0.4993871444
11433,-0.5251426125999998
11434,-0.036829380999999925
11435,-0.04633500779999977
11438,0.2002968612
11440,0.12231409860000005
11441,0.0389108256
11443,0.4236616815999998
11444,0.10331209540000014
11447,-0.05273016180000008
11448,-0.14678460460000015
11449,-0.056713836800000014
11450,2.3917936263999997
11451,-0.05115359140000005
11459,4.1622810382
11461,-0.022152421999999925
11464,2.3276530593999993
11465,0.0799304699999997
11468,-0.28460122400000004
11470,-0.06656623880000027
11471,-0.10187731099999997
11472,0.8278434786000002
11475,1.3826527080000004
11477,0.19915089700000038
11479,0.7011767258000002
11480,0.5936477810000003
11481,0.14222249899999984
11482,0.35128898120000007
11484,0.7989688508
11486,0.40730800459999994
11487,-0.7226307185999996
11488,-0.10784928579999992
11489,0.08510706179999976
11490,0.05638770659999999
11491,0.09608843519999936
11492,-0.013616956800000156
11495,0.027066622600000034
11496,0.10590357980000001
11500,0.020391488200000297
11501,1.8967886614
11502,0.25360548500000024
11504,1.3194968968
11512,-0.4976155187999998
11513,-1.294003772
11514,0.18831781239999995
11515,-1.095456062
11516,0.25491693620000005
11517,0.06725070419999993
11518,-0.6483028228000002
11519,0.0722021712000002
11520,0.8000500002000006
11522,-0.6092834766000002
11529,0.025646060799999943
11532,-0.13027085460000012
11534,0.37569048220000034
11535,2.4019755296
11536,0.1257462401999998
11537,2.0451770316
11538,-0.3149128139999998
11539,0.36382604599999996
11540,0.07048151600000008
11541,1.2685251426
11542,-0.09376010520000012
11544,0.0074264100000000725
11545,-0.6335708533999999
11546,-0.3422468829999998
11548,-0.31521954239999983
11549,0.015426868400000154
11551,-0.010843976599999838
11552,-0.1253434804000003
11553,-0.13460965100000025
11554,0.08394679819999995
11555,-0.4422834461999997
11556,-0.01373486119999967
11564,0.21294375879999997
11567,-0.08105534920000004
11568,1.0691565241999998
11569,0.3993939968000005
11571,0.21727790680000006
11576,-0.7074140413999999
11593,-0.20404781579999995
11595,-0.048460405999999887
11596,0.9631105715999999
11600,-2.2020747073999996
11601,-0.10519826139999999
11602,0.05471652499999971
11603,0.7698006636000001
11604,-0.21573763999999995
11605,0.23850617419999984
11606,-0.44009915899999985
11607,0.49710050479999984
11609,4.366139999989471e-5
11610,-0.0717559048
11611,-0.6277036914
11614,0.06520712059999997
11622,0.9890760652000001
11624,-0.0056778174000000625
11625,-1.8363809622000002
11628,-0.17373432499999997
11629,0.41686067359999984
11632,-0.579220012199999
11634,0.04037441360000002
11636,1.5626480336
11637,0.4289092136000002
11639,-0.31123287720000015
11640,0.8473728430000002
11642,-0.03363295459999999
11643,-0.06762484840000002
11647,0.27927297139999985
11648,-0.28731250880000003
11650,-0.0915941185999996
11651,0.2096737210000001
11652,-0.15776487699999997
11655,1.1795577242000002
11656,0.05748851399999957
11657,-3.5034453268
11658,0.4666184822
11666,-0.4627593785999998
11668,-0.13503369200000037
11669,-1.158643856
11670,0.09439355359999996
11671,-0.08836687520000004
11674,0.2325483139999999
11676,0.6604913099999999
11682,0.2729446064000003
11684,-2.6545571148000002
11686,-0.15998428700000025
11687,0.7523756011999996
11688,-0.24388029720000004
11689,0.33994859159999996
11690,-0.5752256359999997
11692,0.021590057200000068
11694,-0.13386014299999988
11695,-0.1551759913999998
11698,-0.026372369400000022
11699,-1.5190089865999998
11704,-0.026107548199999896
11705,-0.1408868024000002
11717,0.4363791706000001
11720,-1.599980542
11727,0.06450443859999984
11732,-0.7721888566000008
11733,-0.26296039439999974
11735,0.40243462080000025
11736,-0.28669421679999996
11737,-0.3144158313999995
11739,0.7518446202
11740,0.333734518
11744,-0.0034855115999999353
11745,1.8039013923999996
11746,1.2146215439999999
11747,0.27215211399999967
11749,-0.42257511659999947
11750,0.36035447739999993
11754,0.7980002724000002
11757,-0.25052324400000003
11758,-1.189068143
11761,1.1669163942
11764,-0.2992120094000004
11765,0.05644240179999969
11766,-0.43725751459999973
11767,-0.12265794800000052
11768,9.148927999998252e-4
11769,-0.12025290920000006
11770,2.2980536031999996
11771,0.011470271199999965
11772,-0.02394626959999968
11773,-0.8713880182000008
11774,0.07960336539999986
11775,-0.0323057570000003
11776,-0.03113203160000033
11777,-0.07883108400000013
11778,0.1959791663999999
11781,-0.08741077339999989
11782,-0.012245515800000106
11783,0.43535622280000014
11784,-0.07474277200000008
11785,0.023828865200000122
11787,0.31396663840000016
11789,-0.19282615040000003
11790,0.6440150425999999
11792,0.9738045796000001
11793,-0.07879920579999983
11796,0.9822795743999997
11797,-1.0600725238
11798,-0.5561149332000003
11799,0.21998402419999968
11800,0.1555017540000002
11801,0.2551121872000002
11803,0.24759949839999998
11804,0.5530792794
11806,-2.0050340684
11807,-2.1168866088
11808,-0.11861127660000007
11810,-0.027768844000000195
11811,1.1638127307999997
11812,-1.2288107910000001
11813,-0.8847417494
11814,-2.5924409656
11815,1.3360899386
11816,-0.1879295352000006
11818,-2.0974785822
11819,0.7802493998000001
11820,1.5550244596
11821,0.3192258378000002
11826,0.08529234660000035
11827,0.0978612051999999
11828,-0.048807368800000174
11829,-0.06663341959999974
11830,0.6247283576000001
11831,0.16276656700000008
11832,-0.09321610260000009
11833,0.041988085999999925
11834,-0.05075636560000037
11835,0.44711318060000005
11836,0.0495741539999999
11837,-0.003480950000000149
11838,0.02306356880000012
11841,0.6545205643999997
11842,-0.45478905980000023
11843,0.6838984337999996
11844,-0.3012522919999999
11845,0.6950108648000004
11846,-2.240903239
11847,2.4062235337999995
11848,0.11959529800000013
11852,0.8027551619999993
11853,1.1565682726
11854,-0.13159663639999994
11855,0.5290977634
11856,-0.9091504224000001
11857,-0.3544720760000004
11858,0.21506566279999983
11859,-0.15829431419999995
11861,-0.4279577312000001
11863,0.21746863739999983
11864,-0.09929534460000014
11867,0.1284752580000003
11870,0.23190007400000018
11875,0.10128754680000007
11876,-0.05811725780000003
11877,-0.09054329760000002
11878,0.024586627400000255
11881,-0.3821988742000002
11883,-0.15943751880000004
11886,0.05651881719999958
11889,-1.0658736786
11890,-0.2126071578000001
11891,0.07372920119999993
11898,-0.8660276365999999
11899,0.043682140999999924
11905,-1.8877370593999998
11906,1.0266478662000003
11907,-0.10079471479999975
11909,-0.07984172680000017
11910,1.4641034546000002
11911,0.14231726880000015
11920,-0.7019799612
11921,0.03359454919999987
11922,-0.04989096360000004
11923,-0.05600620060000009
11924,0.028922668400000268
11925,-0.013071779199999956
11927,-0.9900185280000002
11928,-0.054987622399999804
11931,0.32051653560000054
11932,-0.1400808162000001
11933,-0.20671804399999977
11936,0.5546601296
11937,2.0630632548000003
11938,1.0503625780000003
11941,-0.025111645000000148
11944,0.1150946401999999
11945,-0.06375555379999993
11964,0.5380944568
11966,-0.016056770400000166
11972,-0.20534280060000007
11973,0.4969459453999999
11974,-0.4170900860000003
11975,0.28491132419999976
11977,0.30598618160000013
11979,0.1108398295999999
11980,-1.2085740314
11981,0.42569041939999985
11982,0.21182825400000027
11984,0.17103359
11987,0.7700585504000003
11988,1.9520350843999998
11989,0.26012453860000007
11990,0.03623485340000007
11991,0.4320201609999998
11992,-0.3643603828
11993,-0.4667241984
11998,-0.08553927859999996
12000,0.009218822599999909
12005,-0.11283049220000016
12006,-0.26972348419999986
12007,-1.1297246804
12010,-0.34839215999999984
12012,-0.11031611220000029
12013,0.8760324822000001
12014,-1.2077539292000001
12015,-0.16287655139999999
12017,-0.08373632800000015
12018,-0.15815424779999993
12020,-0.17644354819999997
12021,0.08001911179999992
12022,-0.20976074099999983
12023,-0.2401876266000002
12028,0.013790762199999843
12029,0.23218149579999978
12032,-0.14181170840000004
12033,0.6237968350000005
12034,0.17582376099999983
12035,-0.09586667420000002
12036,-0.14880382260000008
12038,0.3004825134000001
12039,-0.10134480359999984
12040,-0.10433991240000007
12041,0.08102683779999983
12042,-0.04007463380000046
12043,-0.7687976995999998
12048,-0.3440775359999993
12049,0.21374605640000038
12050,0.2220229957999999
12051,2.036189986
12053,-0.5550507178000001
12054,3.8099800000246375e-5
12055,0.2840068293999999
12057,-0.007129338599999902
12061,-0.0912305022
12062,0.044682499800000025
12064,0.4210706949999999
12068,0.15425655039999991
12069,0.4017642342
12075,0.021365162200000214
12091,-0.40873325259999993
12111,2.7134885504
12121,0.26682313660000007
12122,-0.7747586088000002
12123,0.08500866859999992
12124,0.11519347579999957
12125,0.19932631879999999
12140,1.9538094316000003
12142,1.0589277528000003
12143,-0.5129786148000008
12144,-0.2016591251999998
12145,0.1283755211999996
12151,0.06655671279999989
12153,0.6425819695999999
12154,-0.0049932586000000665
12155,0.07701983740000015
12156,-1.1572300625999998
12159,0.5942346218000001
12160,0.08710749319999975
12161,0.4632993130000001
12162,0.015758438800000364
12163,0.1823519580000001
12165,0.03409290820000006
12166,0.7138324722000002
12167,0.21195654140000003
12168,1.3461900992
12169,1.0572982692
12173,0.8505968188000003
12175,0.2632727051999996
12176,0.6786200306000003
12180,0.15961257359999997
12181,0.33107328979999995
12182,1.8662371962
12183,-0.05573353199999964
12189,0.0974664773999999
12190,0.022114569799999914
12192,0.23410317660000002
12193,-0.509388942
12209,0.05733566339999996
12211,-0.4561451408000002
12212,-0.003256674599999858
12215,-0.37531076399999996
12217,0.01624832300000012
12223,0.1754249928
12224,1.4622273884
12226,0.42121537800000014
12227,-0.0068955486000000345
12228,-0.1223300000000002
12229,-0.5447503292
12231,0.1006018288000001
12234,0.13117696179999977
12235,0.3196941108000001
12236,0.2289853537999999
12237,0.1547951893999997
12238,-0.12075794460000008
12257,-1.073451947
12258,3.2490699526000006
12259,1.5495204344000002
12260,1.7657294886
12261,0.9490297634000004
12262,1.3275929567999998
12263,1.6181137210000003
12265,-0.8008854411999996
12266,2.9209994522
12267,-0.4091208638000001
12273,2.1735003208
12274,0.1541924311999999
12279,-1.4004400518
12282,0.2817656441999997
12283,-0.32385947999999976
12286,-0.009990130599999786
12287,-0.06034561880000008
12288,0.2190971280000001
12289,0.013471190600000326
12290,0.3962239307999999
12291,-0.1496938295999998
12292,0.7623921953999998
12293,0.024414823200000064
12294,0.058858978999999846
12295,0.24462115320000014
12296,0.44276613539999976
12297,0.7874130067999998
12298,0.16495155779999998
12299,0.09806397420000001
12300,-0.07513536379999992
12301,0.22119254199999996
12304,0.020439195799999865
12305,0.3945928528000001
12306,1.0488378265999994
12307,0.1384952256
12308,-0.010422514400000082
12309,0.5225726258
12310,0.2865804310000001
12311,0.13665416320000015
12316,0.22246011240000013
12317,0.4760167360000004
12319,0.3383128226
12321,0.5562497910000003
12322,-0.053770807599999935
12325,-0.3924981261999999
12326,-0.30295038420000003
12328,0.015958400999999945
12330,0.3780589789999997
12331,-0.7606883699999998
12332,0.6133726890000004
12333,-0.1973260604
12334,-0.6595882176000003
12335,-2.2423487153999995
12336,-0.3959425659999994
12337,-1.0100733178
12338,0.7035277161999998
12339,-0.2523981228
12340,0.0683055000000003
12343,0.19986900600000013
12344,0.11117241820000008
12345,-0.43085060799999936
12346,0.05528292319999989
12348,0.10304579939999989
12349,-0.5060162019999996
12350,3.5570010448
12351,1.3966862830000002
12352,-0.4404937466000002
12353,-0.2296709793999998
