gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,administration_route,main_sample_source,specific_sample_source,sequencing
GSE272499,Recombinant RSV G protein vaccine induces enhanced respiratory disease via IL-13 and mucin overproduction,39394212,Virus,RSV,G protein,Subunit,NA,Subcutanenous,Lung,NA,Bulk
GSE227647,Intranasal delivery of NS1-deleted influenza virus vectored COVID-19 vaccine restrains the SARS-CoV-2 inflammatory response (Mouse Lung RNA-seq Data),37433761,Virus,SARS-CoV-2,dNS1-RBD,Viral vector,NA,Intranasal,Lung,NA,Bulk
GSE167521,The mRNA-LNP platform’s lipid nanoparticle component used in preclinical vaccine studies is highly inflammatory,33688649,Virus,SARS-CoV-2,LNP,mRNA,NA,Intradermal,Skin,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,Viral vector,NA,Intranasal,Blood,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,Viral vector,NA,Intramuscular,Blood,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,Viral vector,NA,Intramuscular,Respiratory secretion,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,RBD,Viral vector,NA,Intranasal,Respiratory secretion,NA,Bulk
GSE179131,Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,,Virus,SARS-CoV-2,Spike,Attenuated,NA,Intramuscular,Lymph node,NA,scRNAseq
GSE217200,Adenosine deaminase augments SARS-CoV-2 specific cellular and humoral responses in aged mouse models of immunization and challenge,36999023,Virus,SARS-CoV-2,Spike,DNA,NA,Intramuscular,Lymph node,NA,scRNAseq
GSE217200,Adenosine deaminase augments SARS-CoV-2 specific cellular and humoral responses in aged mouse models of immunization and challenge,36999023,Virus,SARS-CoV-2,Spike,DNA,NA,Intramuscular,Spleen,NA,scRNAseq
GSE292262,Bulk RNA sequencing data of femur bone marrow tissue derived from mice intramuscularly injected with a SARS-CoV2 mRNA vaccine,,Virus,SARS-CoV-2,Spike,mRNA,NA,Intramuscular,Bone marrow,NA,Bulk
GSE282488,Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,40503231,Virus,SARS-CoV-2,Spike,mRNA,NA,Intramuscular,Lymph node,NA,scRNAseq
GSE260817,Time-dependent enhancement of mRNA vaccines by 4-1BB costimulatory antibodies,39432667,Virus,SARS-CoV-2,Spike,mRNA,NA,Intramuscular,Spleen,TCD8,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,Viral vector,NA,Intranasal,Blood,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,Viral vector,NA,Intramuscular,Blood,NA,scRNAseq
GSE282488,Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,40503231,Virus,SARS-CoV-2,Spike,Viral vector,NA,Intramuscular,Lymph node,NA,scRNAseq
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,Viral vector,NA,Intramuscular,Respiratory secretion,NA,Bulk
GSE223476,Intranasal administration of adenoviral vaccines expressing SARS-CoV-2 spike protein improves vaccine immunity in mouse models,37085458,Virus,SARS-CoV-2,Spike,Viral vector,NA,Intranasal,Respiratory secretion,NA,Bulk
GSE173567,Gene expression on SARS CoV-2 specific CD8 T cells after SARS CoV-2 vaccination,34648369,Virus,SARS-CoV-2,Spike,Viral vector,NA,Intramuscular,Spleen,TCD8,scRNAseq
GSE201266,Variant-specific vaccination induces systems immune responses and potent in vivo protection against SARS-CoV-2 [scRNA-seq],,Virus,SARS-CoV-2,Spike Omicron,mRNA,NA,No information,Spleen,NA,scRNAseq
GSE201266,Variant-specific vaccination induces systems immune responses and potent in vivo protection against SARS-CoV-2 [scRNA-seq],,Virus,SARS-CoV-2,Spike Wuhan,mRNA,NA,No information,Spleen,NA,scRNAseq
GSE150847,"Generation of a Broadly Useful Model for COVID-19 Pathogenesis, Vaccination, and Treatment",32643603,Virus,SARS-CoV-2,"Structural proteins, VRPs from VEEV",mRNA,NA,Intranasal,Lung,NA,Bulk
GSE176203,Transcriptome analysis of T cells from mice immunized with Sindbis Virus Spike and/or aOX40,34394127,Virus,Sindbis virus,Spike,Subunit,NA,Intraperitoneal,Spleen,T cells,Bulk
GSE225180,Natural killer cell transcriptomics following vaccinia virus infection of mice,36911702,Virus,Smallpox,Whole,Attenuated,NA,Intranasal,Spleen,NK cells,Bulk
GSE179131,Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,,Virus,Yellow fever,Whole,Attenuated,NA,Subcutaneous,Lymph node,NA,scRNAseq
GSE180384,Single Cell RNA-seq of the draining lymph nodes of mice treated with either 3M052 or Yellow Fever Vaccine (YF),35087093,Virus,Yellow fever,Whole,Attenuated,NA,Subcutaneous,Lymph node,NA,scRNAseq
