gse_id,title,pubmedids,pathogen_type,target_pathogen,target_antigen,vaccine_type,adjuvanted,administration_route,main_sample_source,specific_sample_source,sequencing
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intramuscular,Spleen,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intramuscular,Spleen,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intravenous,Spleen,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intravenous,Spleen,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Subcutaneous,Kidney,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Subcutaneous,Kidney,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intramuscular,Kidney,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intramuscular,Kidney,NA,BCRseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intravenous,Kidney,NA,scRNAseq
GSE193543,Non-protective immune imprint underlies failure of S.  aureus IsdB vaccine,35803276,Bacteria,Staphylococcus aureus,lsdB,Subunit,NA,Intravenous,Kidney,NA,BCRseq
GSE100288,CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,28827285,Bacteria,Tuberculosis,Ag85A,Viral vector,NA,Intranasal,Lung,TCD8,Microarray
GSE100288,CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,28827285,Bacteria,Tuberculosis,Ag85A,Viral vector,NA,Parenteral,Lung,TCD8,Microarray
GSE264141,RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,39927262,Bacteria,Tuberculosis,Ag85B-ESAT6-MPT64-Rv2660c,Viral vector,NA,Subcutaneous,Blood,NA,Bulk
GSE264141,RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,39927262,Bacteria,Tuberculosis,Ag85B-ESAT6-MPT64-Rv2660c,Viral vector,NA,Intramuscular,Blood,NA,Bulk
GSE264141,RNA signatures followed by immunization of multiantigenic adenovirus-based vaccine candidate against mycobacterium tuberculosis,39927262,Bacteria,Tuberculosis,Ag85B-ESAT6-MPT64-Rv2660c,Viral vector,NA,Intravenous,Blood,NA,Bulk
GSE261448,Early transcriptomic response of innate immune cells  to subcutaneous BCG vaccination of mice,39252057; 39768135,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Bone marrow,"monocytes, NK cells, neutrophils",Bulk
GSE212202,Gene expression analysis of mouse alveolar macrophages infected with Mycobacterium tuberculosis isolated from BCG-vaccinated mice [balRNAseq],38236787,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Lung,"BAL, macrophages",Bulk
GSE212203,Gene expression analysis of alveolar macrophages from BCG-vaccinated and CoMtb mice stimulated ex vivo [exvivoRNAseq],38236787,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Lung,BAL,Bulk
GSE213340,Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis I,36456739,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Lung,BAL,Bulk
GSE213342,Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis II,36456739,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Lung,BAL,Bulk
GSE212204,Single-cell gene expression analysis of pulmonary immune cells from BCG-vaccinated and CoMtb mice [scRNAseq],38236787,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Lung,BAL,scRNAseq
GSE261448,Early transcriptomic response of innate immune cells  to subcutaneous BCG vaccination of mice,39252057; 39768135,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Spleen,NK cells,Bulk
GSE139948,Impact of metformin treatment on CD8 in non and BCG-vaccinated mice,33067434,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Spleen,TCD8+,Bulk
GSE135592,Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis,32090856,Bacteria,Tuberculosis,BCG,Attenuated,NA,Subcutaneous,Spleen,NA,Microarray
GSE135592,Whole genome profiling of murine lymphocytes and statistical validation of a panel of immune molecules to predict vaccine efficacy against Mycobacterium tuberculosis,32090856,Bacteria,Tuberculosis,BCG,Inactivated,NA,Subcutaneous,Spleen,NA,Microarray
GSE226075,Mycolic acid nanoparticle vaccination leads to lipid antigen persistence and unique differentiation of mycobacterial-specific T cells,36945395; 37877801,Bacteria,Tuberculosis,Mycolic acid,Subunit,NA,Intratechal,Lymph node,NA,Bulk
GSE244126,BCG vaccination stimulates Integrated Organ Immunity by feedback of the adaptive immune response to imprint prolonged innate antiviral resistance,38036767,Bacteria,Tuberculosis,Whole,Attenuated,NA,No information,Lung,NA,scRNAseq
GSE164590,Single cell transcriptional analysis reveals the effects of mucosal vaccination on mouse lung CD4 T cell compartments,,Bacteria,Tuberculosis,Whole,Infection,NA,Intranasal,Lung,NA,scRNAseq
GSE198466,Single cell analysis uncovers novel populations of CD4+ T cells associated with antifungal vaccine efficacy,36060075,Fungi,Blastomyces dermatitidis,Bl-Eng2,Subunit,NA,Intranasal,Lung,TCD4,scRNAseq
